q_identifer,regex_identifier
acceptable_workload,acceptable.*workload
access_learning,access.*learning
balance_worklife,balance.*work.*private
bullied_who_colleague,who.*colleague$
bullied_who_contractor,who.*contractor
bullied_who_cs_org,who.*someone.*different\scivil.*organisation
bullied_who_different_colleague,who.*(colleague.*different|someone.*another)
bullied_who_direct_report,who.*someone.*manage
bullied_who_immediate_colleague,who.*colleague.*my\sarea
bullied_who_manager,who.*(my|your)\smanager
bullied_who_non_cs_org,who.*someone.*non.*organisation
bullied_who_other,who.*someone\selse
bullied_who_prefer,who.*prefer
bullied_who_public,who.*public
bullied_who_senior,who.*another\s(manager|senior)
bullied_who_user,who.*user
bullying_appropriate_action,appropriate.*action
bullying_culture_allows,culture.*allow
bullying_experienced,^(have|during|experienced).*bull(i|y)
bullying_nature_appearance,nature.*appearance
bullying_nature_comments_sick,nature.*comments.*sick
bullying_nature_denied_family,nature.*denied.*family
bullying_nature_denied_illhealth,nature.*denied.*health
bullying_nature_gossip,nature.*gossip
bullying_nature_humiliated,nature.*humiliated
bullying_nature_ignored,nature.*ignored
bullying_nature_intimidation,nature.*intimidation
bullying_nature_less_favourably,nature.*less\sfavourably
bullying_nature_micromanagement,negative\smicromanagement
bullying_nature_other,nature.*something\selse
bullying_nature_physical,nature.*physical
bullying_nature_ptns,nature.*prefer
bullying_nature_removal,nature.*removal
bullying_nature_sensitive,nature.*sensitive
bullying_nature_sexual,sexual\sharassment
bullying_nature_undermining,nature.*undermining
bullying_notreporting_jeopardise,felt.*jeopardise
bullying_notreporting_noaction,not.*corrective
bullying_notreporting_notknow,not.*know
bullying_notreporting_other,not\sreport
bullying_notreporting_stopped,behaviour\sstopped
bullying_notreporting_torublemaker,seen.*troublemaker
bullying_punished_reporting,punished.*reporting
bullying_report,report.*bullying
bullying_reporting_complaint,raised.*complaint
bullying_reporting_confided,confided.*someone
bullying_reporting_informal,reported.*less\sformal
bullying_resolved,issue.*resolved
bullying_situation_moved,moved.*avoid
bullying_stopped,bullying.*stopped
career_opportunities,opportunities.*develop.*career
challenge_behaviour,challenge\sinappropriate
challenging_work,challenged.*work
change_managed_well,change.*managed\swell
changes_better,changes.*better
choice_how,choice.*how
clear_expectations,clear.*expected
contribute_csvision,contributes.*become
contribute_views,contribute.*views
cscode_aware,aware\sof\sthe\scivil\sservice\scode
cscode_concern,confident.*concern.*civil\sservice\scode
cscode_raise,aware.*how.*civil\sservice\scode
csvision_aware,aware.*vision
discimination_grounds_payband,grounds.*pay\s?band
discrimination_experienced,^(have|during|experienced).*discriminat
discrimination_grounds_age,grounds.*\bage
discrimination_grounds_caring,grounds.*caring
discrimination_grounds_disability,grounds.*disability
discrimination_grounds_ethnic,grounds.*ethnic
discrimination_grounds_gender,grounds.*(\?|:)\sgender$
discrimination_grounds_gender_identity,grounds.*reassignment
discrimination_grounds_grade,grounds.*grade
discrimination_grounds_language,grounds.*language
discrimination_grounds_location,grounds.*location
discrimination_grounds_marital_status,grounds.*mari?ti?al
discrimination_grounds_mental_health,grounds.*mental
discrimination_grounds_other,grounds.*other
discrimination_grounds_pay,grounds.*pay$
discrimination_grounds_pnts,grounds.*prefer
discrimination_grounds_pregnancy,grounds.*pregnancy
discrimination_grounds_religion,grounds.*religion
discrimination_grounds_sex,grounds.*sex$
discrimination_grounds_sexual_orientation,grounds.*orientation
discrimination_grounds_social_background,grounds.*social.*background
discrimination_grounds_working_pattern,grounds.*pattern
effective_action,effective\saction
engagement_index,engagement\s(score|index)
feedback_improves,feedback.*improve
feedback_regular,regular\sfeedback
feel_lonely,feel\slonely
get_information,get.*information
good_friends,good\sfriend
handle_data_training,training.*data
handle_sensitive_info,handle.*sensitive\sinformation
have_skills,have.*skills
have_tools,have.*tools
intentions_leave_12months,leave.*months
intentions_leave_asap,leave.*possible
intentions_stay_1year,stay.*next\syear
intentions_stay_3years,stay.*years
interested_work,interested.*work
involved_work_decisions,decisions.*work
kept_informed,informed.*matters
leaders_confidence,confidence.*decisions
leaders_consistent,senior.*consistent
leaders_empower_teams,empower\steams
leaders_inspire,senior.*inspire
leaders_visible,senior.*visible
leaders_vision,clear.*vision.*future
leadership_rolemodel,^senior.*role\smodel
learning_career,learning.*career
learning_performance,learning.*performance
manager_considerate,manager.*considerate
manager_empowers,manager.*empowers
manager_inspires_team,inspires.*team
manager_leads_confidence,my.*manager.*confidence
manager_motivates,manager\smotivates
manager_open,manager.*open
manager_recognises,manager.*recognises
manager_understand_contibution,manager.*contribute
managers_action,managers\swhere.*action
managers_rolemodel,^managers.*role\smodel
mental_health,rate.*overall.*mental.*health
mymanager_rolemodel,my.*manager.*role
new_ideas,supported.*new\sidea
org_managed_well,organisation.*managed\swell
organisation_attachment,attachment.*organisation
organisation_diverse,organisation.*creating.*diverse
organisation_inspires,organisation.*inspires
organisation_motivates,organisation.*motivates
organisation_objectives,understanding.*objectives
organisation_proud,proud.*organisation
organisation_purpose,organisation's.*purpose
organisation_recommend,recommend.*organisation
organisation_respect_differences,organisation\srespects.*differences
pay_performance,pay.*performance
pay_reasonable,pay.*reasonable
performance_fair,evaluated\sfairly
performance_things_done,performance.*things.*done
perma_index,perma\b
physical_health,overall\sphysical\shealth
poor_performance,poor.*performance
proxy_stress,proxy.*stress
safe_challenge,safe.*challenge
satisfied_benefits,satisfied.*benefits
say_we_they,we.*they
senior_action,senior.*action
seniors_leads_confidence,senior.*lead.*confidence
speak_up_risk,speak\sup.*risk
team_enouraged_new,team.*encouraged.*new
team_help,team.*help
team_improve_service,improve.*service
team_wellbeing,team.*care.*wellbeing
theme_inclusion,inclusion.*treatment
theme_leadership,leadership.*change
theme_learning,learning.*development(\stheme.*)?$
theme_manager,^my.*manager(\stheme.*)?$
theme_org_objectives,^organisational.*objectives
theme_pay,^pay.*(benefits|beneifts)
theme_resources,^resources.*workload
theme_team,^my\steam(\stheme.*)?$
theme_work,^my\swork(\stheme.*)?$
treated_fairly,treated.*fairly
treated_respect,treated.*respect
trusted_job,trusted.*carry
understand_cscode,understand.*code
valued_work,valued.*work
wellbeing_anxiety,anxious.*yesterday
wellbeing_happiness,happy.*yesterday
wellbeing_satisfaction,satisfied.*life
wellbeing_worthwhile,things.*worthwhile
work_accomplishment,work.*accomplishment
work_contributes,work.*contributes.*objectives
work_objectives,work\sobjectives
