year,qid,base_labels
2009,aaa_organisation,Organisation
2010,aaa_organisation,Organisation
2011,aaa_organisation,Organisation
2012,aaa_organisation,Organisation
2013,aaa_organisation,Organisation
2014,aaa_organisation,Organisation
2015,aaa_organisation,Organisation
2016,aaa_organisation,Organisation
2017,aaa_organisation,Organisation
2018,aaa_organisation,Organisation
2019,aaa_organisation,Organisation
2016,aaa_organisation_code,Organisation_Code
2017,aaa_organisation_code,Organisation_Code
2018,aaa_organisation_code,Organisation_Code
2019,aaa_organisation_code,Organisation code
2009,aaa_organisation_group,Departmental grouping
2010,aaa_organisation_group,Departmental grouping
2011,aaa_organisation_group,Departmental grouping
2012,aaa_organisation_group,Departmental grouping
2013,aaa_organisation_group,Departmental grouping
2014,aaa_organisation_group,Departmental grouping
2015,aaa_organisation_group,Departmental grouping
2016,aaa_organisation_group,Department_group
2017,aaa_organisation_group,Department_group
2018,aaa_organisation_group,Department_group
2019,aaa_organisation_group,Departmental Group
2014,aaa_response_count,Number of respondents
2015,aaa_response_count,Number of respondents
2015,aaa_response_count,Number of respondents 1
2016,aaa_response_count,Number of respondents
2017,aaa_response_count,Number of respondents
2017,aaa_response_count,Number of respondents 1
2017,aaa_response_count,Number of responses
2018,aaa_response_count,Number of respondents
2018,aaa_response_count,Number of respondents 1
2018,aaa_response_count,Number of responses
2019,aaa_response_count,Number of respondents
2019,aaa_response_count,Number of respondents 2
2019,aaa_response_count,Number of responses
2020,aaa_response_count,Count
2021,aaa_response_count,Count
2013,aaa_response_rate,Response rate
2014,aaa_response_rate,Response rate
2015,aaa_response_rate,Response rate
2016,aaa_response_rate,Response_rate
2017,aaa_response_rate,Response rate
2018,aaa_response_rate,Response rate
2019,aaa_response_rate,Response Rate
2021,aaa_response_rate,Response rate [note 9]
2022,aaa_response_rate,Response rate
2009,acceptable_workload,B35. I have an acceptable workload
2009,acceptable_workload,B35. I have an acceptable workload (% strongly agree or agree)
2010,acceptable_workload,B35. I have an acceptable workload
2010,acceptable_workload,B35. I have an acceptable workload (% strongly agree or agree)
2011,acceptable_workload,B35. I have an acceptable workload
2011,acceptable_workload,B35. I have an acceptable workload (% strongly agree or agree)
2012,acceptable_workload,B35. I have an acceptable workload
2012,acceptable_workload,B35. I have an acceptable workload (% strongly agree or agree)
2013,acceptable_workload,B35. I have an acceptable workload
2013,acceptable_workload,B35. I have an acceptable workload (% strongly agree or agree)
2014,acceptable_workload,B35. I have an acceptable workload
2014,acceptable_workload,B35. I have an acceptable workload (% strongly agree or agree)
2015,acceptable_workload,B35. I have an acceptable workload
2015,acceptable_workload,B35. I have an acceptable workload (% strongly agree or agree)
2016,acceptable_workload,B35
2016,acceptable_workload,B35. I have an acceptable workload
2016,acceptable_workload,B35. I have an acceptable workload (% strongly agree or agree)
2017,acceptable_workload,B33
2017,acceptable_workload,B33. I have an acceptable workload
2017,acceptable_workload,B33. I have an acceptable workload (% strongly agree or agree)
2018,acceptable_workload,B33
2018,acceptable_workload,B33. I have an acceptable workload
2018,acceptable_workload,B33. I have an acceptable workload (% strongly agree or agree)
2019,acceptable_workload,B33
