obj,obj_class,obj_vals,stripped_vals
qm_0913_bm,character,Employee engagement index,employee engagement index
qm_0913_bm,character,My work,my work
qm_0913_bm,character,Organisational objectives and purpose,organisational objectives and purpose
qm_0913_bm,character,My manager,my manager
qm_0913_bm,character,My team,my team
qm_0913_bm,character,Learning and development,learning and development
qm_0913_bm,character,Inclusion and fair treatment,inclusion and fair treatment
qm_0913_bm,character,Resources and workload,resources and workload
qm_0913_bm,character,Pay and benefits,pay and benefits
qm_0913_bm,character,Leadership and managing change,leadership and managing change
qm_0913_bm,character,B01. I am interested in my work,i am interested in my work
qm_0913_bm,character,B02. I am sufficiently challenged by my work,i am sufficiently challenged by my work
qm_0913_bm,character,B03. My work gives me a sense of personal accomplishment,my work gives me a sense of personal accomplishment
qm_0913_bm,character,B04. I feel involved in the decisions that affect my work,i feel involved in the decisions that affect my work
qm_0913_bm,character,B05. I have a choice in deciding how I do my work,i have a choice in deciding how i do my work
qm_0913_bm,character,B06. I have a clear understanding of [my organisation's] purpose,i have a clear understanding of my organisation's purpose
qm_0913_bm,character,B07. I have a clear understanding of [my organisation's] objectives,i have a clear understanding of my organisation's objectives
qm_0913_bm,character,B08. I understand how my work contributes to [my organisation's] objectives,i understand how my work contributes to my organisation's objectives
qm_0913_bm,character,B09. My manager motivates me to be more effective in my job,my manager motivates me to be more effective in my job
qm_0913_bm,character,B10. My manager is considerate of my life outside work,my manager is considerate of my life outside work
qm_0913_bm,character,B11. My manager is open to my ideas,my manager is open to my ideas
qm_0913_bm,character,B12. My manager helps me to understand how I contribute to [my organisation's] objectives,my manager helps me to understand how i contribute to my organisation's objectives
qm_0913_bm,character,"B13. Overall, I have confidence in the decisions made by my manager","overall, i have confidence in the decisions made by my manager"
qm_0913_bm,character,B14. My manager recognises when I have done my job well,my manager recognises when i have done my job well
qm_0913_bm,character,B15. I receive regular feedback on my performance,i receive regular feedback on my performance
qm_0913_bm,character,B16. The feedback I receive helps me to improve my performance,the feedback i receive helps me to improve my performance
qm_0913_bm,character,B17. I think that my performance is evaluated fairly,i think that my performance is evaluated fairly
qm_0913_bm,character,B18. Poor performance is dealt with effectively in my team,poor performance is dealt with effectively in my team
qm_0913_bm,character,B19. The people in my team can be relied upon to help when things get difficult in my job,the people in my team can be relied upon to help when things get difficult in my job
qm_0913_bm,character,B20. The people in my team work together to find ways to improve the service we provide,the people in my team work together to find ways to improve the service we provide
qm_0913_bm,character,B21. The people in my team are encouraged to come up with new and better ways of doing things,the people in my team are encouraged to come up with new and better ways of doing things
qm_0913_bm,character,B22. I am able to access the right learning and development opportunities when I need to,i am able to access the right learning and development opportunities when i need to
qm_0913_bm,character,B23. Learning and development activities I have completed in the past 12 months have helped to improve my performance,learning and development activities i have completed in the past 12 months have helped to improve my performance
qm_0913_bm,character,B24. There are opportunities for me to develop my career in [my organisation],there are opportunities for me to develop my career in my organisation
qm_0913_bm,character,B25. Learning and development activities I have completed while working for [my organisation] are helping me to develop my career,learning and development activities i have completed while working for my organisation are helping me to develop my career
qm_0913_bm,character,B26. I am treated fairly at work,i am treated fairly at work
qm_0913_bm,character,B27. I am treated with respect by the people I work with,i am treated with respect by the people i work with
qm_0913_bm,character,B28. I feel valued for the work I do,i feel valued for the work i do
qm_0913_bm,character,"B29. I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc)","i think that my organisation respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc)"
