"data_type","uid_org_txt","uid_qm_num","uid_qm_txt","response_category","value"
"organisation","ACAS","0.00.002.00","meta.response_rate","response_rate",68
"organisation","ACAS","1.01.001.00","000.engagement_index","index",61
"organisation","ACAS","1.02.001.00","000.my_work","theme",73
"organisation","ACAS","1.02.002.00","000.objectives_purpose","theme",81
"organisation","ACAS","1.02.003.00","000.my_manager","theme",65
"organisation","ACAS","1.02.004.00","000.my_team","theme",77
"organisation","ACAS","1.02.005.00","000.learning_development","theme",46
"organisation","ACAS","1.02.006.00","000.inclusion_treatment","theme",72
"organisation","ACAS","1.02.007.00","000.resources_workload","theme",70
"organisation","ACAS","1.02.008.00","000.pay_benefits","theme",24
"organisation","ACAS","1.02.009.00","000.leadership_change","theme",37
"organisation","ACAS","2.01.001.00","mwk.interested_work","agreement",92
"organisation","ACAS","2.01.002.00","mwk.challenging_work","agreement",81
"organisation","ACAS","2.01.003.00","mwk.personal_accomplishment","agreement",79
"organisation","ACAS","2.01.004.00","mwk.involved_decisions","agreement",44
"organisation","ACAS","2.01.005.00","mwk.choice_how","agreement",65
"organisation","ACAS","2.02.001.00","obj.understanding_objectives","agreement",79
"organisation","ACAS","2.02.003.00","obj.contribute_toward_objectives","agreement",84
"organisation","ACAS","2.03.001.00","mgr.manager_motivates","agreement",66
"organisation","ACAS","2.03.004.00","mgr.manager_considerate","agreement",80
"organisation","ACAS","2.03.005.00","mgr.manager_open","agreement",75
"organisation","ACAS","2.03.006.00","mgr.understand_contribution","agreement",65
"organisation","ACAS","2.03.007.00","mgr.confidence_manger","agreement",68
"organisation","ACAS","2.03.008.00","mgr.manager_recognises","agreement",77
"organisation","ACAS","2.03.009.00","mgr.regular_feedback","agreement",64
"organisation","ACAS","2.03.010.00","mgr.feedback_helps","agreement",61
"organisation","ACAS","2.03.011.00","mgr.performance_fairly","agreement",56
"organisation","ACAS","2.03.013.00","mgr.poor_performance","agreement",39
"organisation","ACAS","2.04.001.00","tem.relied_upon","agreement",87
"organisation","ACAS","2.04.002.00","tem.improve_service","agreement",79
"organisation","ACAS","2.04.003.00","mtm.team_encouraged","agreement",66
"organisation","ACAS","2.05.001.00","ldv.access_learning","agreement",56
"organisation","ACAS","2.05.002.00","ldv.improve_performance","agreement",44
"organisation","ACAS","2.05.003.00","ldv.opportunities_career","agreement",40
"organisation","ACAS","2.05.004.00","ldv.helping_career","agreement",42
"organisation","ACAS","2.06.001.00","ift.treated_fairly","agreement",74
"organisation","ACAS","2.06.002.00","ift.treated_respect","agreement",85
"organisation","ACAS","2.06.003.00","ift.work_valued","agreement",62
"organisation","ACAS","2.06.004.00","ift.respects_differences","agreement",67
"organisation","ACAS","2.07.001.00","rwk.information_needed","agreement",73
"organisation","ACAS","2.07.002.00","rwk.work_objectives","agreement",73
"organisation","ACAS","2.07.004.00","rwk.skills_needed","agreement",92
"organisation","ACAS","2.07.005.00","rwk.tools_needed","agreement",76
"organisation","ACAS","2.07.006.00","rwk.acceptable_workload","agreement",49
"organisation","ACAS","2.07.007.00","rwk.work_life_balance","agreement",60
"organisation","ACAS","2.08.001.00","pay.reflects_performance","agreement",23
"organisation","ACAS","2.08.002.00","pay.satisfied_benefits","agreement",26
"organisation","ACAS","2.08.003.00","pay.pay_reasonable","agreement",25
"organisation","ACAS","2.09.001.00","lmc.seniors_visible","agreement",47
"organisation","ACAS","2.09.002.00","lmc.seniors_consistent_values","agreement",37
"organisation","ACAS","2.09.003.00","lmc.clear_vision","agreement",36
"organisation","ACAS","2.09.005.00","lmc.confidence_seniors","agreement",32
"organisation","ACAS","2.09.006.00","lmc.change_managed_well","agreement",26
