regex,uid_qm_txt
(^|^e\d+_\w+\.?\s|^e05[:.]\s)did.you.report,dhb.reported_bullying
(been|during.*experienced).(discrim),dhb.experienced_discrimination
(been|experienced).(bull(ied|ying)),dhb.experienced_bullying
(not.report|inaction).*another.reason,dhb.not_reported_other_reason
(not.report|inaction).*behaviour.stopped,dhb.not_reported_behaviour_stopped
(not.report|inaction).*corrective.action,dhb.not_reported_action_not_taken
(not.report|inaction).*jeopardise.*job,dhb.not_reported_jeopardise_job
(not.report|inaction).*not.know,dhb.not_reported_not_know_how
(not.report|inaction).*troublemaker,dhb.not_reported_troublemaker
^count$|^number.*responses$,meta.response_count
^ees|engagement.(index|score),000.engagement_index
^inclusion.*fair.treatment|^if_,000.inclusion_treatment
^leadership.*managing.change|^lc_,000.leadership_change
^learning.*development(\stheme.*)?$|^ld_,000.learning_development
^my.*manager(\stheme.*)?$|^lm_.*,000.my_manager
^my.team|^mt_,000.my_team
^my.work(\stheme.*)?$|^mw_,000.my_work
^organisational.objectives|^op_,000.objectives_purpose
^pay.*benefits|^pb_,000.pay_benefits
^resources.*workload|^rw_,000.resources_workload
acceptable.workload,rwk.acceptable_workload
access.*learning,ldv.access_learning
action.*been.taken,act.been_taken
anxious.*yesterday,wlb.anxious_yesterday
appropriate.action,dhb.appropriate_action
aware.*benefits,pay.aware_benefits
aware.*raise.*concern.*civil.service.code,csc.aware_code
aware.*vision,tpl.aware_vision
aware.of.the.civil.service.code,csc.aware_concern
bullied.*(another.part|different.area),dhb.bullied_by_different_area
bullied.*(my|your).manager,dhb.bullied_by_my_manager
bullied.*another.manager,dhb.bullied_by_other_manager
bullied.*colleague($|\s\(),dhb.bullied_by_colleague
bullied.*contractor,dhb.bullied_by_contractor
bullied.*different.civil.service.organisation,dhb.bullied_by_othercs_organisation
bullied.*my.area,dhb.bullied_by_my_area
bullied.*non.*civil.service.organisation,dhb.bullied_by_noncs_organisation
bullied.*public,dhb.bullied_by_public
bullied.*senior,dhb.bullied_by_senior_manager
bullied.*some(one|thing).else,dhb.bullied_by_someone_else
bullied.*someone.*manage,dhb.bullied_by_someone_manage
bullied.*user,dhb.bullied_by_user
challenge.*behaviour,tpl.challenge_inappropriate
challenged.*work,mwk.challenging_work
change.*well,lmc.change_managed_well
changes.*better,lmc.change_for_better
choice.*how,mwk.choice_how
choice.*where,tpl.choice_where
clear.*expected,rwk.clear_expectations
clear.vision,lmc.clear_vision
collaborate.*goals,tpl.collaborate_goals
confidence.*my.manager,mgr.confidence_manger
confidence.*senior,lmc.confidence_seniors
confident.*civil.service.code,csc.confident_code
consider.*public,tpl.consider_public
contribute.*become|help.*vision,tpl.achieve_vision
contribute.*views,lmc.contribute_views
contributes.*objectives,obj.contribute_toward_objectives
culture.*allow.*continue,dhb.culture_continue
discuss.*wellbeing,wlb.discuss_wellbeing
efficiency.*priority,tpl.efficiency_priority
feedback.*helps,mgr.feedback_helps
feel.lonely,wlb.feel_lonely
get.*information,rwk.information_needed
good.balance,rwk.work_life_balance
good.friendships,tpl.good_friendships
grounds.*([:-–—_]\s?pay|'pay),dhb.discrimination_pay
grounds.*(\b|_)age,dhb.discrimination_age
grounds.*(\b|_)caring,dhb.discrimination_caring
grounds.*(\b|_)disability,dhb.discrimination_disability
grounds.*(\b|_)ethnic,dhb.discrimination_ethnicity
grounds.*(\b|_)gender.*perceived,dhb.discrimination_gender_identity
grounds.*(\b|_)grade,dhb.discrimination_grade
grounds.*(\b|_)language,dhb.discrimination_language
grounds.*(\b|_)location,dhb.discrimination_location
grounds.*(\b|_)mari?ti?al.status,dhb.discrimination_marital_status
grounds.*(\b|_)mental.health,dhb.discrimination_mental_health
grounds.*(\b|_)other,dhb.discrimination_other
grounds.*(\b|_)pattern,dhb.discrimination_pattern
grounds.*(\b|_)prefer.not,dhb.discrimination_pnts
grounds.*(\b|_)pregnancy,dhb.discrimination_pregnancy
grounds.*(\b|_)religion,dhb.discrimination_religion
grounds.*(\b|_)sex\b,dhb.discrimination_sex
grounds.*(\b|_)sexual.orientation,dhb.discrimination_sexual_orientation
grounds.*(\b|_)social,dhb.discrimination_social_background
grounds.*(discrimination|against?)(\s?[:-––_]\s?gender)\s\(|grounds.*'gender'|grounds.*:\sgender$,dhb.discrimination_gender
handle.*information,inf.handle_information
happy.*yesterday,wlb.happy_yesterday
has.*bullying.*stopped|bullying.*has.stopped,dhb.bullying_has_stopped
how.productive,tpl.how_productive
