"obj","obj_class","raw_measure","raw_label","year","proc_label","stripped_label"
"qs_2009_org","character",,"Employee engagement index",2009,"employee engagement index","employee engagement index"
"qs_2009_org","character",,"My work theme score (B01-B05)",2009,"my work theme score (b01-b05)","my work theme score"
"qs_2009_org","character",,"Organisational objectives and purpose theme score (B06-B08)",2009,"organisational objectives and purpose theme score (b06-b08)","organisational objectives and purpose theme score"
"qs_2009_org","character",,"My manager theme score (B09-B18)",2009,"my manager theme score (b09-b18)","my manager theme score"
"qs_2009_org","character",,"My team theme score (B19-B21)",2009,"my team theme score (b19-b21)","my team theme score"
"qs_2009_org","character",,"Learning and development theme score (B22-B25)",2009,"learning and development theme score (b22-b25)","learning and development theme score"
"qs_2009_org","character",,"Inclusion and fair treatment theme score (B26-B29)",2009,"inclusion and fair treatment theme score (b26-b29)","inclusion and fair treatment theme score"
"qs_2009_org","character",,"Resources and workload theme score (B30-B36)",2009,"resources and workload theme score (b30-b36)","resources and workload theme score"
"qs_2009_org","character",,"Pay and benefits theme score (B37-B39)",2009,"pay and benefits theme score (b37-b39)","pay and benefits theme score"
"qs_2009_org","character",,"Leadership and managing change theme score (B40-B49)",2009,"leadership and managing change theme score (b40-b49)","leadership and managing change theme score"
"qs_2009_org","character",,"B01. I am interested in my work (% strongly agree or agree)",2009,"b01. i am interested in my work (% strongly agree or agree)","i am interested in my work"
"qs_2009_org","character",,"B02. I am sufficiently challenged by my work (% strongly agree or agree)",2009,"b02. i am sufficiently challenged by my work (% strongly agree or agree)","i am sufficiently challenged by my work"
"qs_2009_org","character",,"B03. My work gives me a sense of personal accomplishment (% strongly agree or agree)",2009,"b03. my work gives me a sense of personal accomplishment (% strongly agree or agree)","my work gives me a sense of personal accomplishment"
"qs_2009_org","character",,"B04. I feel involved in the decisions that affect my work (% strongly agree or agree)",2009,"b04. i feel involved in the decisions that affect my work (% strongly agree or agree)","i feel involved in the decisions that affect my work"
"qs_2009_org","character",,"B05. I have a choice in deciding how I do my work (% strongly agree or agree)",2009,"b05. i have a choice in deciding how i do my work (% strongly agree or agree)","i have a choice in deciding how i do my work"
"qs_2009_org","character",,"B06. I have a clear understanding of [my organisation's] purpose (% strongly agree or agree)",2009,"b06. i have a clear understanding of [my organisation's] purpose (% strongly agree or agree)","i have a clear understanding of [my organisation's] purpose"
"qs_2009_org","character",,"B07. I have a clear understanding of [my organisation's] objectives (% strongly agree or agree)",2009,"b07. i have a clear understanding of [my organisation's] objectives (% strongly agree or agree)","i have a clear understanding of [my organisation's] objectives"
"qs_2009_org","character",,"B08. I understand how my work contributes to [my organisation's] objectives (% strongly agree or agree)",2009,"b08. i understand how my work contributes to [my organisation's] objectives (% strongly agree or agree)","i understand how my work contributes to [my organisation's] objectives"
"qs_2009_org","character",,"B09. My manager motivates me to be more effective in my job (% strongly agree or agree)",2009,"b09. my manager motivates me to be more effective in my job (% strongly agree or agree)","my manager motivates me to be more effective in my job"
"qs_2009_org","character",,"B10. My manager is considerate of my life outside work (% strongly agree or agree)",2009,"b10. my manager is considerate of my life outside work (% strongly agree or agree)","my manager is considerate of my life outside work"
"qs_2009_org","character",,"B11. My manager is open to my ideas (% strongly agree or agree)",2009,"b11. my manager is open to my ideas (% strongly agree or agree)","my manager is open to my ideas"
"qs_2009_org","character",,"B12. My manager helps me to understand how I contribute to [my organisation's] objectives (% strongly agree or agree)",2009,"b12. my manager helps me to understand how i contribute to [my organisation's] objectives (% strongly agree or agree)","my manager helps me to understand how i contribute to [my organisation's] objectives"
"qs_2009_org","character",,"B13. Overall, I have confidence in the decisions made by my manager (% strongly agree or agree)",2009,"b13. overall, i have confidence in the decisions made by my manager (% strongly agree or agree)","overall, i have confidence in the decisions made by my manager"
"qs_2009_org","character",,"B14. My manager recognises when I have done my job well (% strongly agree or agree)",2009,"b14. my manager recognises when i have done my job well (% strongly agree or agree)","my manager recognises when i have done my job well"
"qs_2009_org","character",,"B15. I receive regular feedback on my performance (% strongly agree or agree)",2009,"b15. i receive regular feedback on my performance (% strongly agree or agree)","i receive regular feedback on my performance"
"qs_2009_org","character",,"B16. The feedback I receive helps me to improve my performance (% strongly agree or agree)",2009,"b16. the feedback i receive helps me to improve my performance (% strongly agree or agree)","the feedback i receive helps me to improve my performance"
"qs_2009_org","character",,"B17. I think that my performance is evaluated fairly (% strongly agree or agree)",2009,"b17. i think that my performance is evaluated fairly (% strongly agree or agree)","i think that my performance is evaluated fairly"
"qs_2009_org","character",,"B18. Poor performance is dealt with effectively in my team (% strongly agree or agree)",2009,"b18. poor performance is dealt with effectively in my team (% strongly agree or agree)","poor performance is dealt with effectively in my team"
"qs_2009_org","character",,"B19. The people in my team can be relied upon to help when things get difficult in my job (% strongly agree or agree)",2009,"b19. the people in my team can be relied upon to help when things get difficult in my job (% strongly agree or agree)","the people in my team can be relied upon to help when things get difficult in my job"
"qs_2009_org","character",,"B20. The people in my team work together to find ways to improve the service we provide (% strongly agree or agree)",2009,"b20. the people in my team work together to find ways to improve the service we provide (% strongly agree or agree)","the people in my team work together to find ways to improve the service we provide"
