"uid_qm_txt","uid_qm_num","regex","label"
"000.engagement_index",,"^ees|engagement.(index|score)","ees employee engagement index (b47 to b51)"
"000.inclusion_treatment",,"^inclusion.*fair.treatment|^if_","if_ts inclusion and fair treatment theme score (% positive, b25 to b28)"
"000.leadership_change",,"^leadership.*managing.change|^lc_","lc_ts leadership and managing change theme score (% positive, b38 to b46)"
"000.learning_development",,"^learning.*development(\stheme.*)?$|^ld_","ld_ts learning and development theme score (% positive, b21 to b24)"
"000.my_manager",,"^my.*manager(\stheme.*)?$|^lm_.*","lm_ts my manager theme score (% positive, b08 to b16)"
"000.my_team",,"^my.team|^mt_","mt_ts my team theme score (% positive, b18 to b20)"
"000.my_work",,"^my.work(\stheme.*)?$|^mw_","mw_ts my work theme score (% positive, b01 to b05)"
"000.objectives_purpose",,"^organisational.objectives|^op_","op_ts organisational objectives and purpose theme score (% positive, b06 to b07)"
"000.pay_benefits",,"^pay.*benefits|^pb_","pay and benefits theme score (% positive, b35 to b37)"
"000.resources_workload",,"^resources.*workload|^rw_","resources and workload theme score (% positive, b29 to b34)"
"act.been_taken",,"action.*been.taken","b53 where i work, i think effective action has been taken on the results of the last survey (% selecting 'strongly agree' or 'agree')"
"act.managers_action",,"managers.where.*take.action","b56. i believe that managers where i work will take action on the results from this survey"
"act.senior_action",,"senior.*take.action","b52 i believe that senior managers in [my organisation] will take action on the results from this survey (% selecting 'strongly agree' or 'agree')"
"csc.aware_code",,"aware.*raise.*concern.*civil.service.code","are you aware of how to raise a concern under the civil service code? (% selecting 'yes')"
"csc.aware_concern",,"aware.of.the.civil.service.code","d01: are you aware of the civil service code? (% yes)"
"csc.confident_code",,"confident.*civil.service.code","are you confident that if you raised a concern under the civil service code in [my organisation] it would be investigated properly? (% selecting 'yes')"
"csc.understand_conduct",,"understand.*civil.service.code","d01a i understand the civil service code and what it means for my conduct (% selecting 'strongly agree' or 'agree')"
"dhb.appropriate_action",,"appropriate.action","e06_a_no was appropriate action taken to address the behaviour you experienced? (% selecting 'no') [note 5]"
"dhb.bullied_by_colleague",,"bullied.*colleague($|\s\()","e04. who were you bullied or harassed by at work in the past 12 months? (asked only of those that said ""yes"" to question e03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to e03 and may sum to more than 100%)a colleague"
"dhb.bullied_by_contractor",,"bullied.*contractor","e04_08 who bullied or harassed you? (% selecting 'a contractor' of those who ticked at least one e04 option) [notes 8, 9]"
"dhb.bullied_by_different_area",,"bullied.*(another.part|different.area)","e04_02 who bullied or harassed you? (% selecting 'a colleague in a different area, directorate, division of my organisation' of those who ticked at least one e04 option) [notes 8, 9]"
"dhb.bullied_by_my_area",,"bullied.*my.area","e04_01 who bullied or harassed you? (% selecting 'a colleague in my area, directorate or division' of those who ticked at least one e04 option) [notes 8, 9]"
"dhb.bullied_by_my_manager",,"bullied.*(my|your).manager","e04_03 who bullied or harassed you? (% selecting 'my manager' of those who ticked at least one e04 option) [notes 8, 9]"
"dhb.bullied_by_noncs_organisation",,"bullied.*non.*civil.service.organisation","e04_07 who bullied or harassed you? (% selecting 'someone working for a non-civil service organisation' of those who ticked at least one e04 option) [notes 8, 9]"
"dhb.bullied_by_other_manager",,"bullied.*another.manager","e04. who were you bullied or harassed by at work in the past 12 months? (asked only of those that said ""yes"" to question e03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to e03 and may sum to more than 100%)another manager in your part of [your organisation]"
"dhb.bullied_by_othercs_organisation",,"bullied.*different.civil.service.organisation","e04_06 who bullied or harassed you? (% selecting 'someone working in a different civil service organisation' of those who ticked at least one e04 option) [notes 8, 9]"
"dhb.bullied_by_pnts",,"who.*bullied.*prefer.not","e04_12 who bullied or harassed you? (% selecting 'prefer not to say' of those who ticked at least one e04 option) [notes 8, 9]"
"dhb.bullied_by_public",,"bullied.*public","e04_10 who bullied or harassed you? (% selecting 'a member of the public' of those who ticked at least one e04 option) [notes 8, 9]"
"dhb.bullied_by_senior_manager",,"bullied.*senior","e04_04 who bullied or harassed you? (% selecting 'another senior member of staff in my organisation' of those who ticked at least one e04 option) [notes 8, 9]"
"dhb.bullied_by_someone_else",,"bullied.*some(one|thing).else","e04_11 who bullied or harassed you? (% selecting 'someone else not listed here' of those who ticked at least one e04 option) [notes 8, 9]"
"dhb.bullied_by_someone_manage",,"bullied.*someone.*manage","e04_05 who bullied or harassed you? (% selecting 'someone i manage' of those who ticked at least one e04 option) [notes 8, 9]"
"dhb.bullied_by_user",,"bullied.*user","e04_09 who bullied or harassed you? (% selecting 'a service user (for example, customer, claimant, offender)' of those who ticked at least one e04 option) [notes 8, 9]"
"dhb.bullying_has_stopped",,"has.*bullying.*stopped|bullying.*has.stopped","e06_b_no has the bullying and harassment stopped? (% selecting 'no') [note 5]"
"dhb.bullying_nature_aggression",,"nature.*aggression","e03a_04 how would you describe the nature of the bullying and or harassment you experienced? (% selecting 'intimidation, or verbal or written aggression (for example, shouting, making threats, sending aggressive emails)' of those who ticked at least one e03a option) [notes 8, 9]"
"dhb.bullying_nature_appearance",,"nature.*appearance","e03a_01 how would you describe the nature of the bullying and or harassment you experienced? (% selecting 'comments about my personal appearance or accent' of those who ticked at least one e03a option) [notes 8, 9]"
"dhb.bullying_nature_assault",,"nature.*physical.assault","e03a_05 how would you describe the nature of the bullying and or harassment you experienced? (% selecting 'physical assault (for example, object thrown at me, pushed, hit)' of those who ticked at least one e03a option) [notes 8, 9]"
"dhb.bullying_nature_denied_caring",,"nature.*denied.*caring","e03a_13 how would you describe the nature of the bullying and or harassment you experienced? (% selecting 'denied time off for family or caring responsibilities' of those who ticked at least one e03a option) [notes 8, 9]"
"dhb.bullying_nature_denied_illness",,"nature.*denied.*ill.health","e03a_12 how would you describe the nature of the bullying and or harassment you experienced? (% selecting 'denied time off for personal ill health' of those who ticked at least one e03a option) [notes 8, 9]"
"dhb.bullying_nature_gossip",,"nature.*gossip","e03a_03 how would you describe the nature of the bullying and or harassment you experienced? (% selecting 'spreading gossip or making false accusations about me' of those who ticked at least one e03a option) [notes 8, 9]"
"dhb.bullying_nature_health_comments",,"nature.*comments.*health","e03a_15 how would you describe the nature of the bullying and or harassment you experienced? (% selecting 'unhelpful comments about my mental health or being off sick' of those who ticked at least one e03a option) [notes 8, 9]"
"dhb.bullying_nature_humiliated",,"nature.*humiliated","e03a_06 how would you describe the nature of the bullying and or harassment you experienced? (% selecting 'humiliated in front of team or others' of those who ticked at least one e03a option) [notes 8, 9]"
"dhb.bullying_nature_ignored",,"nature.*ignored","e03a_10 how would you describe the nature of the bullying and or harassment you experienced? (% selecting 'ignored, excluded, marginalised' of those who ticked at least one e03a option) [notes 8, 9]"
"dhb.bullying_nature_job_criticism",,"nature.*job.*criticism","e03a_08 how would you describe the nature of the bullying and or harassment you experienced? (% selecting 'removal of job responsibilities, unconstructive criticism, or changing expectations' of those who ticked at least one e03a option) [notes 8, 9]"
"dhb.bullying_nature_micromanagement",,"nature.*micromanagement","e03a_07 how would you describe the nature of the bullying and or harassment you experienced? (% selecting 'negative micromanagement (for example, excessive control, made to feel incompetent)' of those who ticked at least one e03a option) [notes 8, 9]"
"dhb.bullying_nature_personal_details",,"nature.*disclosure","e03a_14 how would you describe the nature of the bullying and or harassment you experienced? (% selecting 'disclosure of personal or sensitive information to colleagues without my consent' of those who ticked at least one e03a option) [notes 8, 9]"
"dhb.bullying_nature_pnts",,"nature.*prefer.not","e03a_17 how would you describe the nature of the bullying and or harassment you experienced? (% selecting 'prefer not to say' of those who ticked at least one e03a option) [notes 8, 9]"
"dhb.bullying_nature_sexual_harassment",,"nature.*sexual.harassment","e03a_02 how would you describe the nature of the bullying and or harassment you experienced? (% selecting 'sexual harassment (for example, sexual comments or jokes, unwelcome sexual advances, touching or assault)' of those who ticked at least one e03a option) [notes 8, 9]"
"dhb.bullying_nature_something_else",,"nature.*something.else","e03a_16 how would you describe the nature of the bullying and or harassment you experienced? (% selecting 'something else not listed here' of those who ticked at least one e03a option) [notes 8, 9]"
"dhb.bullying_nature_undermining",,"nature.*undermining","e03a_11 how would you describe the nature of the bullying and or harassment you experienced? (% selecting 'undermining or taking credit for my work' of those who ticked at least one e03a option) [notes 8, 9]"
"dhb.bullying_nature_unfavourable",,"nature.*less.favourably","e03a_09 how would you describe the nature of the bullying and or harassment you experienced? (% selecting 'treated less favourably to others' of those who ticked at least one e03a option) [notes 8, 9]"
"dhb.bullying_resolved",,"issue.*resolved","e06. in your opinion, has this issue been resolved?"
"dhb.culture_continue",,"culture.*allow.*continue","does the culture where you work allow this kind of behaviour to continue? (% selecting 'no')"
"dhb.discrimination_age",,"grounds.*(\b|_)age","e02_01 on which of the following grounds were you discriminated against? (% selecting 'age' of those who ticked at least one e02 option) [notes 7, 9]"
"dhb.discrimination_caring",,"grounds.*(\b|_)caring","e02_02 on which of the following grounds were you discriminated against? (% selecting 'caring responsibilities' of those who ticked at least one e02 option) [notes 7, 9]"
"dhb.discrimination_disability",,"grounds.*(\b|_)disability","e02_03 on which of the following grounds were you discriminated against? (% selecting 'disability' of those who ticked at least one e02 option) [notes 7, 9]"
"dhb.discrimination_ethnicity",,"grounds.*(\b|_)ethnic","e02_04 on which of the following grounds were you discriminated against? (% selecting 'ethnic background' of those who ticked at least one e02 option) [notes 7, 9]"
"dhb.discrimination_gender",,"grounds.*(discrimination|against?)(\s?[:-––_]\s?gender)\s\(|grounds.*'gender'|grounds.*:\sgender$","e02_05 on which of the following grounds were you discriminated against? (% selecting 'gender' of those who ticked at least one e02 option) [notes 7, 9]"
"dhb.discrimination_gender_identity",,"grounds.*(\b|_)gender.*perceived","e02_06 on which of the following grounds were you discriminated against? (% selecting 'gender reassignment or perceived gender' of those who ticked at least one e02 option) [notes 7, 9]"
"dhb.discrimination_grade",,"grounds.*(\b|_)grade","e02_07 on which of the following grounds were you discriminated against? (% selecting 'grade or responsibility level' of those who ticked at least one e02 option) [notes 7, 9]"
"dhb.discrimination_language",,"grounds.*(\b|_)language","e02_08 on which of the following grounds were you discriminated against? (% selecting 'main spoken, written language or language ability' of those who ticked at least one e02 option) [notes 7, 9]"
"dhb.discrimination_location",,"grounds.*(\b|_)location","e02_17 on which of the following grounds were you discriminated against? (% selecting 'working location' of those who ticked at least one e02 option) [notes 7, 9]"
"dhb.discrimination_marital_status",,"grounds.*(\b|_)mari?ti?al.status","e02_09 on which of the following grounds were you discriminated against? (% selecting 'marital status or civil partnership' of those who ticked at least one e02 option) [notes 7, 9]"
"dhb.discrimination_mental_health",,"grounds.*(\b|_)mental.health","e02_10 on which of the following grounds were you discriminated against? (% selecting 'mental health' of those who ticked at least one e02 option) [notes 7, 9]"
"dhb.discrimination_other",,"grounds.*(\b|_)other","e02_19 on which of the following grounds were you discriminated against? (% selecting 'any other grounds' of those who ticked at least one e02 option) [notes 7, 9]"
"dhb.discrimination_pattern",,"grounds.*(\b|_)pattern","e02_18 on which of the following grounds were you discriminated against? (% selecting 'working pattern' of those who ticked at least one e02 option) [notes 7, 9]"
"dhb.discrimination_pay",,"grounds.*([:-–—_]\s?pay|'pay)","e02_11 on which of the following grounds were you discriminated against? (% selecting 'pay' of those who ticked at least one e02 option) [notes 7, 9]"
"dhb.discrimination_pnts",,"grounds.*(\b|_)prefer.not","e02_20 on which of the following grounds were you discriminated against? (% selecting 'prefer not to say' of those who ticked at least one e02 option) [notes 7, 9]"
"dhb.discrimination_pregnancy",,"grounds.*(\b|_)pregnancy","e02_12 on which of the following grounds were you discriminated against? (% selecting 'pregnancy, maternity or paternity' of those who ticked at least one e02 option) [notes 7, 9]"
"dhb.discrimination_religion",,"grounds.*(\b|_)religion","e02_13 on which of the following grounds were you discriminated against? (% selecting 'religion or belief' of those who ticked at least one e02 option) [notes 7, 9]"
"dhb.discrimination_sex",,"grounds.*(\b|_)sex\b","e02_14 on which of the following grounds were you discriminated against? (% selecting 'sex' of those who ticked at least one e02 option) [notes 7, 9]"
"dhb.discrimination_sexual_orientation",,"grounds.*(\b|_)sexual.orientation","e02_15 on which of the following grounds were you discriminated against? (% selecting 'sexual orientation' of those who ticked at least one e02 option) [notes 7, 9]"
