"obj","raw_label","year","proc_measure","uid"
"qs_2009_org","Employee engagement index",2009,,"1.01.001.00"
"qs_2009_org","My work theme score (B01-B05)",2009,,"1.02.001.00"
"qs_2009_org","Organisational objectives and purpose theme score (B06-B08)",2009,,"1.02.002.00"
"qs_2009_org","My manager theme score (B09-B18)",2009,,"1.02.003.00"
"qs_2009_org","My team theme score (B19-B21)",2009,,"1.02.004.00"
"qs_2009_org","Learning and development theme score (B22-B25)",2009,,"1.02.005.00"
"qs_2009_org","Inclusion and fair treatment theme score (B26-B29)",2009,,"1.02.006.00"
"qs_2009_org","Resources and workload theme score (B30-B36)",2009,,"1.02.007.00"
"qs_2009_org","Pay and benefits theme score (B37-B39)",2009,,"1.02.008.00"
"qs_2009_org","Leadership and managing change theme score (B40-B49)",2009,,"1.02.009.00"
"qs_2009_org","B01. I am interested in my work (% strongly agree or agree)",2009,"b01","2.01.001.00"
"qs_2009_org","B02. I am sufficiently challenged by my work (% strongly agree or agree)",2009,"b02","2.01.002.00"
"qs_2009_org","B03. My work gives me a sense of personal accomplishment (% strongly agree or agree)",2009,"b03","2.01.003.00"
"qs_2009_org","B04. I feel involved in the decisions that affect my work (% strongly agree or agree)",2009,"b04","2.01.004.00"
"qs_2009_org","B05. I have a choice in deciding how I do my work (% strongly agree or agree)",2009,"b05","2.01.005.00"
"qs_2009_org","B06. I have a clear understanding of [my organisation's] purpose (% strongly agree or agree)",2009,"b06","2.02.002.00"
"qs_2009_org","B07. I have a clear understanding of [my organisation's] objectives (% strongly agree or agree)",2009,"b07","2.02.001.00"
"qs_2009_org","B08. I understand how my work contributes to [my organisation's] objectives (% strongly agree or agree)",2009,"b08","2.02.003.00"
"qs_2009_org","B09. My manager motivates me to be more effective in my job (% strongly agree or agree)",2009,"b09","2.03.001.00"
"qs_2009_org","B10. My manager is considerate of my life outside work (% strongly agree or agree)",2009,"b10","2.03.004.00"
"qs_2009_org","B11. My manager is open to my ideas (% strongly agree or agree)",2009,"b11","2.03.005.00"
"qs_2009_org","B12. My manager helps me to understand how I contribute to [my organisation's] objectives (% strongly agree or agree)",2009,"b12","2.03.006.00"
"qs_2009_org","B13. Overall, I have confidence in the decisions made by my manager (% strongly agree or agree)",2009,"b13","2.03.007.00"
"qs_2009_org","B14. My manager recognises when I have done my job well (% strongly agree or agree)",2009,"b14","2.03.008.00"
"qs_2009_org","B15. I receive regular feedback on my performance (% strongly agree or agree)",2009,"b15","2.03.009.00"
"qs_2009_org","B16. The feedback I receive helps me to improve my performance (% strongly agree or agree)",2009,"b16","2.03.010.00"
"qs_2009_org","B17. I think that my performance is evaluated fairly (% strongly agree or agree)",2009,"b17","2.03.011.00"
"qs_2009_org","B18. Poor performance is dealt with effectively in my team (% strongly agree or agree)",2009,"b18","2.03.013.00"
"qs_2009_org","B19. The people in my team can be relied upon to help when things get difficult in my job (% strongly agree or agree)",2009,"b19","2.04.001.00"
"qs_2009_org","B20. The people in my team work together to find ways to improve the service we provide (% strongly agree or agree)",2009,"b20","2.04.002.00"
"qs_2009_org","B21. The people in my team are encouraged to come up with new and better ways of doing things (% strongly agree or agree)",2009,"b21","2.04.003.00"
"qs_2009_org","B22. I am able to access the right learning and development opportunities when I need to (% strongly agree or agree)",2009,"b22","2.05.001.00"
"qs_2009_org","B23. Learning and development activities I have completed in the past 12 months have helped to improve my performance (% strongly agree or agree)",2009,"b23","2.05.002.00"
"qs_2009_org","B24. There are opportunities for me to develop my career in [my organisation] (% strongly agree or agree)",2009,"b24","2.05.003.00"
"qs_2009_org","B25. Learning and development activities I have completed while working for [my organisation] are helping me to develop my career (% strongly agree or agree)",2009,"b25","2.05.004.00"
"qs_2009_org","B26. I am treated fairly at work (% strongly agree or agree)",2009,"b26","2.06.001.00"
"qs_2009_org","B27. I am treated with respect by the people I work with (% strongly agree or agree)",2009,"b27","2.06.002.00"
"qs_2009_org","B28. I feel valued for the work I do (% strongly agree or agree)",2009,"b28","2.06.003.00"
"qs_2009_org","B29. I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc) (% strongly agree or agree)",2009,"b29","2.06.004.00"
"qs_2009_org","B30. In my job, I am clear what is expected of me (% strongly agree or agree)",2009,"b30","2.07.003.00"
"qs_2009_org","B31. I get the information I need to do my job well (% strongly agree or agree)",2009,"b31","2.07.001.00"
"qs_2009_org","B32. I have clear work objectives (% strongly agree or agree)",2009,"b32","2.07.002.00"
"qs_2009_org","B33. I have the skills I need to do my job effectively (% strongly agree or agree)",2009,"b33","2.07.004.00"
"qs_2009_org","B34. I have the tools I need to do my job effectively (% strongly agree or agree)",2009,"b34","2.07.005.00"
"qs_2009_org","B35. I have an acceptable workload (% strongly agree or agree)",2009,"b35","2.07.006.00"
"qs_2009_org","B36. I achieve a good balance between my work life and my private life (% strongly agree or agree)",2009,"b36","2.07.007.00"
"qs_2009_org","B37. I feel that my pay adequately reflects my performance (% strongly agree or agree)",2009,"b37","2.08.001.00"
"qs_2009_org","B38. I am satisfied with the total benefits package (% strongly agree or agree)",2009,"b38","2.08.002.00"
"qs_2009_org","B39. Compared to people doing a similar job in other organisations I feel my pay is reasonable (% strongly agree or agree)",2009,"b39","2.08.003.00"
"qs_2009_org","B40. I feel that [my organisation] as a whole is managed well (% strongly agree or agree)",2009,"b40","2.09.004.00"
"qs_2009_org","B41. [Senior managers] in [my organisation] are sufficiently visible (% strongly agree or agree)",2009,"b41","2.09.001.00"
"qs_2009_org","B42. I believe the actions of [senior managers] are consistent with [my organisation's] values (% strongly agree or agree)",2009,"b42","2.09.002.00"
"qs_2009_org","B43. I believe that [the board has] a clear vision for the future of [my organisation] (% strongly agree or agree)",2009,"b43","2.09.003.00"
"qs_2009_org","B44. Overall, I have confidence in the decisions made by [my organisation's senior managers] (% strongly agree or agree)",2009,"b44","2.09.005.00"
"qs_2009_org","B45. I feel that change is managed well in [my organisation] (% strongly agree or agree)",2009,"b45","2.09.006.00"
"qs_2009_org","B46. When changes are made in [my organisation] they are usually for the better (% strongly agree or agree)",2009,"b46","2.09.007.00"
"qs_2009_org","B47. [My organisation] keeps me informed about matters that affect me (% strongly agree or agree)",2009,"b47","2.09.008.00"
"qs_2009_org","B48. I have the opportunity to contribute my views before decisions are made that affect me (% strongly agree or agree)",2009,"b48","2.09.009.00"
"qs_2009_org","B49. I think it is safe to challenge the way things are done in [my organisation] (% strongly agree or agree)",2009,"b49","2.09.010.00"
"qs_2009_org","B50. I am proud when I tell others I am part of [my organisation] (% strongly agree or agree)",2009,"b50","2.10.001.00"
"qs_2009_org","B51. I would recommend [my organisation] as a great place to work (% strongly agree or agree)",2009,"b51","2.10.002.00"
"qs_2009_org","B52. I feel a strong personal attachment to [my organisation] (% strongly agree or agree)",2009,"b52","2.10.003.00"
"qs_2009_org","B53. [My organisation] inspires me to do the best in my job (% strongly agree or agree)",2009,"b53","2.10.004.00"
"qs_2009_org","B54. [My organisation] motivates me to help it achieve its objectives (% strongly agree or agree)",2009,"b54","2.10.005.00"
"qs_2009_org","B55. I believe that [senior managers] in [my organisation] will take action on the results from this survey (% strongly agree or agree)",2009,"b55","2.11.001.00"
"qs_2009_org","B56. I believe that managers where I work will take action on the results from this survey (% strongly agree or agree)",2009,"b56","2.11.002.00"
"qs_2009_org","D01. Are you aware of the Civil Service Code? (% yes)",2009,"d01","5.01.001.00"
"qs_2009_org","D02. Are you aware of how to raise a concern under the Civil Service Code? (% yes)",2009,"d02","5.01.002.00"
"qs_2009_org","D03. Are you confident that if you raise a concern under the Civil Service Code in [your organisation] it would be investigated properly? (% yes)",2009,"d03","5.01.003.00"
"qs_2009_org","E01. During the past 12 months, have you personally experienced discrimination at work? (% yes)",2009,"e01","6.01.001.00"
"qs_2009_org","E03. During the past 12 months, have you personally experienced bullying or harassment at work? (% yes)",2009,"e03","6.02.001.00"
"qs_2010_org","Employee Engagement Index",2010,,"1.01.001.00"
"qs_2010_org","My work theme score (B01-B05 average)",2010,,"1.02.001.00"
"qs_2010_org","Organisational objectives and purpose theme score (B06-B08 average)",2010,,"1.02.002.00"
"qs_2010_org","My line manager theme score (B09-B18 average)",2010,,"1.02.003.00"
"qs_2010_org","My team theme score (B19-B21 average)",2010,,"1.02.004.00"
"qs_2010_org","Learning and development theme score (B22-B25 average)",2010,,"1.02.005.00"
"qs_2010_org","Inclusion and fair treatment theme score (B26-B29 average)",2010,,"1.02.006.00"
"qs_2010_org","Resources and workload theme score (B30-B36 average)",2010,,"1.02.007.00"
"qs_2010_org","Pay and benefits theme score (B37-B39 average)",2010,,"1.02.008.00"
