"uid_txt","regex","text","n","year"
"dhb.reported_bullying","(^|^e\d+_\w+\.?\s|^e05[:.]\s)did.you.report","did you report your experience of bullying and harassment? (% selecting 'no')",28,2024
"dhb.reported_bullying","(^|^e\d+_\w+\.?\s|^e05[:.]\s)did.you.report","did you report your experience of bullying and harassment? (% selecting 'prefer not to say')",28,2024
"dhb.reported_bullying","(^|^e\d+_\w+\.?\s|^e05[:.]\s)did.you.report","did you report your experience of bullying and harassment? (% selecting 'yes')",28,2024
"dhb.reported_bullying","(^|^e\d+_\w+\.?\s|^e05[:.]\s)did.you.report","e05_no did you report your experience of bullying and harassment? (% selecting 'no') [note 5]",28,2024
"dhb.reported_bullying","(^|^e\d+_\w+\.?\s|^e05[:.]\s)did.you.report","e05_pnts did you report your experience of bullying and harassment? (% selecting 'prefer not to say') [note 5]",28,2024
"dhb.reported_bullying","(^|^e\d+_\w+\.?\s|^e05[:.]\s)did.you.report","e05_yes did you report your experience of bullying and harassment? (% selecting 'yes') [note 5]",28,2024
"dhb.reported_bullying","(^|^e\d+_\w+\.?\s|^e05[:.]\s)did.you.report","e05_yes did you report your experience of bullying and harassment? (% selecting 'yes') [note 8]",28,2024
"dhb.reported_bullying","(^|^e\d+_\w+\.?\s|^e05[:.]\s)did.you.report","e05_no. did you report your experience of bullying and harassment? (% selecting 'no')",28,2023
"dhb.reported_bullying","(^|^e\d+_\w+\.?\s|^e05[:.]\s)did.you.report","e05_no. did you report your experience of bullying and harassment? (% selecting 'no') [note 4]",28,2023
"dhb.reported_bullying","(^|^e\d+_\w+\.?\s|^e05[:.]\s)did.you.report","e05_pnts. did you report your experience of bullying and harassment? (% selecting 'prefer not to say')",28,2023
"dhb.reported_bullying","(^|^e\d+_\w+\.?\s|^e05[:.]\s)did.you.report","e05_pnts. did you report your experience of bullying and harassment? (% selecting 'prefer not to say') [note 4]",28,2023
"dhb.reported_bullying","(^|^e\d+_\w+\.?\s|^e05[:.]\s)did.you.report","e05_yes. did you report your experience of bullying and harassment? (% selecting 'yes')",28,2023
