"year","proc_measure","uid"
2009,"b01","2.01.001.00"
2009,"b02","2.01.002.00"
2009,"b03","2.01.003.00"
2009,"b04","2.01.004.00"
2009,"b05","2.01.005.00"
2009,"b06","2.02.002.00"
2009,"b07","2.02.001.00"
2009,"b08","2.02.003.00"
2009,"b09","2.03.001.00"
2009,"b10","2.03.004.00"
2009,"b11","2.03.005.00"
2009,"b12","2.03.006.00"
2009,"b13","2.03.007.00"
2009,"b14","2.03.008.00"
2009,"b15","2.03.009.00"
2009,"b16","2.03.010.00"
2009,"b17","2.03.011.00"
2009,"b18","2.03.013.00"
2009,"b19","2.04.001.00"
2009,"b20","2.04.002.00"
2009,"b21","2.04.003.00"
2009,"b22","2.05.001.00"
2009,"b23","2.05.002.00"
2009,"b24","2.05.003.00"
2009,"b25","2.05.004.00"
2009,"b26","2.06.001.00"
2009,"b27","2.06.002.00"
2009,"b28","2.06.003.00"
2009,"b29","2.06.004.00"
2009,"b30","2.07.003.00"
2009,"b31","2.07.001.00"
2009,"b32","2.07.002.00"
2009,"b33","2.07.004.00"
2009,"b34","2.07.005.00"
2009,"b35","2.07.006.00"
2009,"b36","2.07.007.00"
2009,"b37","2.08.001.00"
2009,"b38","2.08.002.00"
2009,"b39","2.08.003.00"
2009,"b40","2.09.004.00"
2009,"b41","2.09.001.00"
2009,"b42","2.09.002.00"
2009,"b43","2.09.003.00"
2009,"b44","2.09.005.00"
2009,"b45","2.09.006.00"
2009,"b46","2.09.007.00"
2009,"b47","2.09.008.00"
2009,"b48","2.09.009.00"
2009,"b49","2.09.010.00"
2009,"b50","2.10.001.00"
2009,"b51","2.10.002.00"
2009,"b52","2.10.003.00"
2009,"b53","2.10.004.00"
2009,"b54","2.10.005.00"
2009,"b55","2.11.001.00"
2009,"b56","2.11.002.00"
2009,"d01","5.01.001.00"
2009,"d02","5.01.002.00"
2009,"d03","5.01.003.00"
2009,"e01","6.01.001.00"
2009,"e03","6.02.001.00"
2010,"b01","2.01.001.00"
2010,"b02","2.01.002.00"
2010,"b03","2.01.003.00"
2010,"b04","2.01.004.00"
2010,"b05","2.01.005.00"
2010,"b06","2.02.002.00"
2010,"b07","2.02.001.00"
2010,"b08","2.02.003.00"
2010,"b09","2.03.001.00"
2010,"b10","2.03.004.00"
2010,"b11","2.03.005.00"
2010,"b12","2.03.006.00"
2010,"b13","2.03.007.00"
2010,"b14","2.03.008.00"
2010,"b15","2.03.009.00"
2010,"b16","2.03.010.00"
2010,"b17","2.03.011.00"
2010,"b18","2.03.013.00"
2010,"b19","2.04.001.00"
2010,"b20","2.04.002.00"
2010,"b21","2.04.003.00"
2010,"b22","2.05.001.00"
2010,"b23","2.05.002.00"
2010,"b24","2.05.003.00"
2010,"b25","2.05.004.00"
2010,"b26","2.06.001.00"
2010,"b27","2.06.002.00"
2010,"b28","2.06.003.00"
2010,"b29","2.06.004.00"
2010,"b30","2.07.003.00"
2010,"b31","2.07.001.00"
2010,"b32","2.07.002.00"
2010,"b33","2.07.004.00"
2010,"b34","2.07.005.00"
2010,"b35","2.07.006.00"
2010,"b36","2.07.007.00"
2010,"b37","2.08.001.00"
2010,"b38","2.08.002.00"
2010,"b39","2.08.003.00"
2010,"b40","2.09.004.00"
2010,"b41","2.09.001.00"
2010,"b42","2.09.002.00"
2010,"b43","2.09.003.00"
2010,"b44","2.09.005.00"
2010,"b45","2.09.006.00"
2010,"b46","2.09.007.00"
2010,"b47","2.09.008.00"
2010,"b48","2.09.009.00"
2010,"b49","2.09.010.00"
2010,"b50","2.10.001.00"
2010,"b51","2.10.002.00"
2010,"b52","2.10.003.00"
2010,"b53","2.10.004.00"
