regex,uid_org_txt,organisation_name,prepend_the
^acas$,ACAS,Acas,FALSE
^accountant.*bankrupt,ACTIBK,Accountant in Bankruptcy,TRUE
^active.travel.england,ACTREN,Active Travel England,FALSE
^animal.health.*vet,ANHVLA,Animal Health and Veterinary Laboratories Agency,TRUE
^animal.health$,ANMHEL,Animal Health,FALSE
^animal.*plant.health,ANPHEL,Animal and Plant Health Agency,TRUE
institute.*apprenticeships,APPTCH,Institute for Apprenticeships and Technical Education,TRUE
^attorney,ATTGEN,Attorney General's Office,TRUE
^building.*digital,BLDDIG,Building Digital UK,FALSE
border.force,BRDFCE,Home Office: Border Force,TRUE
business.*energy,BUSENG,"Department for Business, Energy and Industrial Strategy",TRUE
business.*innovation.*skills,BUSINV,"Department for Business, Innovation and Skills",TRUE
business.*trade,BUSTRD,Department for Business and Trade,TRUE
^buying.solutions,BUYSOL,OGC Buying Solutions,FALSE
^cabinet,CABOFF,Cabinet Office,TRUE
^centre.*(fisheries|aquaculture),CEFAS,"Centre for Environment, Fisheries and Aquaculture Science",TRUE
children.*schools.*families,CHLSCH,"Department for Children, Schools and Families",TRUE
child.support.agency,CLDSUP,Child Support Agency,TRUE
^department.for.culture,CLMDSP,"Department for Culture, Media and Sport",TRUE
commission.*executive,CMECCE,Child Maintenance and Enforcement Commission: Commission Executive,TRUE
corporate.services,CMECCS,Child Maintenance and Enforcement Commission: Corporate Services,TRUE
^child.maintenance.*commission$,CMECOM,Child Maintenance and Enforcement Commission,TRUE
^companies.house,CMPHSE,Companies House,FALSE
^competition,CMPMKT,Competition and Markets Authority,TRUE
^child.maintenance.group$,CMTGRP,Child Maintenance Group,TRUE
^central.*information,COFINF,Central Office of Information,TRUE
^department.for.communities,COMLGV,Department for Communities and Local Government,TRUE
^crown.office,COPFSV,Crown Office and Procurator Fiscal Service,TRUE
^criminal.injuries,CRMINJ,Criminal Injuries Compensation Authority,TRUE
^criminal.records,CRMRCD,Criminal Records Bureau,TRUE
^crown.commercial,CRNCOM,Crown Commercial Service,TRUE
^crown.prosecution,CRNPRS,Crown Prosecution Service,TRUE
^charity,CRTCOM,Charity Commission,TRUE
^hm.courts.service$,CRTSRV,HM Courts Service,FALSE
^hm.court.*tribunal,CRTTRB,HM Courts and Tribunals Service,FALSE
^civil.service.*benchmark|median,CSBNCH,Civil Service benchmark,TRUE
^all.civil.servants,CSMEAN,All civil servants,FALSE
^civil.service.hr,CSRVHR,Civil Service HR,FALSE
^defence.electronics,DEFELC,Defence Electronics and Components Agency,TRUE
^defence.*equipment,DEFEQP,Defence Equipment and Support,FALSE
^department.*environment,DEFRA,"Department for Environment, Food and Rural Affairs",TRUE
^defence.support,DEFSUP,Defence Support Group,TRUE
digital.*culture,DGCLMD,"Department for Digital, Culture, Media and Sport",TRUE
^driver.*licensing,DRVLIC,Driver and Vehicle Licensing Agency,TRUE
^driving.standards,DRVSTD,Driving Standards Agency,TRUE
^driver.*vehicle.standards,DRVHST,Driver and Vehicle Standards Agency,TRUE
^disclosure.scotland,DSCSCT,Disclosure Scotland,FALSE
^dstl$,DSTL,Dstl,FALSE
^department.*education,EDUCAT,Department for Education,TRUE
^education.scotland,EDUSCT,Education Scotland,FALSE
energy.*climate,ENGCLM,Department of Energy and Climate Change,TRUE
energy.*net.zero,ENGNET,Department for Energy Security and Net Zero,TRUE
^estyn$,ESTYN,Estyn,FALSE
