"obj","year","group","organisation","dept_group","org_code"
"org_2009",2009,"Civil Service","Civil Service benchmark",,
"org_2009",2009,"Attorney General's Departments","Attorney General's Office",,
"org_2009",2009,"Attorney General's Departments","Crown Prosecution Service",,
"org_2009",2009,"Attorney General's Departments","HM CPS Inspectorate",,
"org_2009",2009,"Attorney General's Departments","Serious Fraud Office",,
"org_2009",2009,"Attorney General's Departments","TSol",,
"org_2009",2009,"Business, Innovation and Skills","Department for Business, Innovation and Skills",,
"org_2009",2009,"Business, Innovation and Skills","Acas",,
"org_2009",2009,"Business, Innovation and Skills","Companies House",,
"org_2009",2009,"Business, Innovation and Skills","Insolvency Service",,
"org_2009",2009,"Business, Innovation and Skills","Intellectual Property Office",,
"org_2009",2009,"Business, Innovation and Skills","National Measurement Office",,
"org_2009",2009,"Business, Innovation and Skills","Office of Fair Trading",,
"org_2009",2009,"Cabinet Office","Cabinet Office",,
"org_2009",2009,"Cabinet Office","Central Office of Information",,
"org_2009",2009,"Cabinet Office","National School of Government",,
"org_2009",2009,"Child Maintenance and Enforcement Commission","Commission Executive",,
"org_2009",2009,"Child Maintenance and Enforcement Commission","Child Support Agency",,
"org_2009",2009,"Child Maintenance and Enforcement Commission","Corporate Services",,
"org_2009",2009,"Children, Schools and Families","Department for Children, Schools and Families",,
"org_2009",2009,"Communities and Local Government","Department for Communities and Local Government",,
"org_2009",2009,"Communities and Local Government","Fire Service College",,
"org_2009",2009,"Communities and Local Government","Government Equalities Office",,
"org_2009",2009,"Communities and Local Government","Government Office Network",,
"org_2009",2009,"Communities and Local Government","Ordnance Survey",,
"org_2009",2009,"Communities and Local Government","The Planning Inspectorate",,
"org_2009",2009,"Culture, Media and Sport","Department for Culture, Media and Sport",,
"org_2009",2009,"Culture, Media and Sport","The Royal Parks",,
"org_2009",2009,"Defence","Ministry of Defence",,
"org_2009",2009,"Defence","UK Hydrographic Office",,
"org_2009",2009,"Energy and Climate Change","Department of Energy and Climate Change",,
"org_2009",2009,"Environment, Food and Rural Affairs","Department for the Environment, Food and Rural Affairs",,
"org_2009",2009,"Environment, Food and Rural Affairs","Animal Health",,
"org_2009",2009,"Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science",,
"org_2009",2009,"Environment, Food and Rural Affairs","Food and Environment Research Agency",,
"org_2009",2009,"Environment, Food and Rural Affairs","Maritime and Fisheries Agency",,
"org_2009",2009,"Environment, Food and Rural Affairs","Rural Payments Agency",,
"org_2009",2009,"Environment, Food and Rural Affairs","Veterinary Laboratories Agency",,
"org_2009",2009,"Environment, Food and Rural Affairs","Veterinary Medicines Directorate",,
"org_2009",2009,"Export Credit Guarantee Department","Export Credit Guarantee Department",,
"org_2009",2009,"Food Standards Agency","Food Standards Agency",,
"org_2009",2009,"Food Standards Agency","Meat Hygiene Service",,
"org_2009",2009,"Foreign and Commonwealth Office","Foreign and Commonwealth Office",,
"org_2009",2009,"Foreign and Commonwealth Office","FCO Services",,
"org_2009",2009,"Foreign and Commonwealth Office","Wilton Park Executive Agency",,
"org_2009",2009,"Health","Department of Health",,
"org_2009",2009,"Health","Medicines and Healthcare Products Regulatory Agency",,
"org_2009",2009,"HM Revenue & Customs","HM Revenue & Customs",,
"org_2009",2009,"HM Revenue & Customs","Valuation Office Agency",,
"org_2009",2009,"HM Treasury","HM Treasury",,
"org_2009",2009,"Chancellor's Other Departments","Buying Solutions",,
"org_2009",2009,"Chancellor's Other Departments","National Savings and Investment",,
"org_2009",2009,"Chancellor's Other Departments","Office of Government Commerce",,
"org_2009",2009,"Chancellor's Other Departments","UK Debt Management Office",,
"org_2009",2009,"Home Office","Home Office",,
"org_2009",2009,"Home Office","Criminal Records Bureau",,
"org_2009",2009,"Home Office","Identity and Passport Service",,
