"group","year_from","year_to"
"Attorney General's Departments",2009,2015
"Attorney General's departments",2012,2012
"Business, Innovation & Skills",2014,2015
"Business, Innovation and Skills",2009,2013
"Business, Innovation and Skills, Department for",2010,2010
"Cabinet Office",2009,2015
"Chancellor's Other Departments",2009,2009
"Chancellor's other departments",2012,2012
"Chancellors' Other Departments",2013,2013
"Charity Commission",2010,2015
"Child Maintenance and Enforcement Commission",2009,2009
"Children, Schools and Families",2009,2009
"Civil Service",2009,2015
"Civil Service overall",2010,2010
"Communities and Local Government",2009,2015
"Communities and Local Government, Department for",2010,2010
"Culture, Media & Sport",2014,2015
"Culture, Media and Sport",2009,2013
"Culture, Media and Sport, Department for",2010,2010
"Defence",2009,2015
"Defence, Ministry of",2010,2010
"Department for Education",2015,2015
"Department for International Development",2013,2013
"Department of Energy and Climate Change",2015,2015
"Education",2011,2014
"Education, Department for",2010,2010
"Energy & Climate Change",2013,2013
"Energy and Climate Change",2009,2014
"Energy and Climate Change< Department of",2010,2010
"Environemnt, Food and Rural Affairs",2013,2013
"Environment, Food & Rural Affairs",2014,2015
"Environment, Food and Rural Affairs",2009,2012
"Environment, Food and Rural Affairs, Department for",2010,2010
"Estyn",2012,2013
"Export Credit Guarantee Department",2009,2009
"Export Credits Guarantee Department",2010,2011
"Food Standards Agency",2009,2015
"Foreign & Commonwealth Office",2014,2015
"Foreign and Commonwealth Office",2009,2013
"Government Actuary's Department",2015,2015
"Government Equalities Office",2010,2010
"HM Inspectorate of Constabulary",2015,2015
"HM Revenue & Customs",2009,2015
"HM Revenue and Customs",2010,2012
"HM Treasury",2009,2014
"HM Treasury and Chancellor's other departments",2015,2015
"Health",2009,2015
"Health, Department of",2010,2010
"Home Office",2009,2015
"International Development",2009,2015
"International Development, Department for",2010,2010
"Justice",2009,2015
"Justice, Ministry of",2010,2010
"National Crime Agency",2013,2015
"National Savings and Investments",2015,2015
"Office for Standards in Education",2012,2012
"Office of Gas and Electricity Markets",2011,2013
"Office of Qualifications and Examinations Regulation",2011,2012
"Office of Rail Regulation",2012,2013
"Office of Standards in Education",2013,2013
"Office of Standards in Education, Children's Services and Skills",2011,2011
"Ofgem",2014,2015
"Ofsted",2010,2015
"Scotland Office, Office of the Advocate General, Wales Office and Northern Ireland Office",2013,2013
"Scotland Office, Wales Office and Northern Ireland Office",2012,2012
"Scottish Government",2009,2015
"Statistics",2013,2013
"Statistics Authority",2010,2011
"Teritorial Offices",2015,2015
"Territorial Offices",2014,2014
"Transport",2009,2015
"Transport, Department for",2010,2010
"UK Export Finance",2012,2015
"UK Statistics Authority",2009,2015
"Welsh Assembly Government",2010,2010
"Welsh Government",2011,2015
"Work and Pensions",2009,2015
"Work and Pensions, Department for",2010,2010
