"organisation","year_from","year_to","org_codes","dept_groups"
"Acas",2009,2024,"ACAS, ACAS0000","Business, Innovation and Skills, Business, Innovation and Skills, Department for, Business, Innovation & Skills, Business, Energy & Industrial Strategy, Business, Energy and Industrial Strategy, Department for Business and Trade"
"Accountant in Bankruptcy",2009,2024,"AIB, AIB0000","Scottish Government"
"Active Travel England",2023,2024,"ATE","Transport"
"All civil servants (mean score)",2019,2024,"CS_MEAN","000_CS, All Civil Service, All Civil Servants"
"Animal Health",2009,2010,,"Environment, Food and Rural Affairs, Environment, Food and Rural Affairs, Department for"
"Animal Health & Veterinary Laboratories Agency",2012,2012,,"Environment, Food and Rural Affairs"
"Animal Health and Veterinary Laboratories Agency",2011,2013,,"Environment, Food and Rural Affairs, Environemnt, Food and Rural Affairs"
"Animal and Plant Health Agency",2014,2024,"APHA, APHA0000","Environment, Food & Rural Affairs, Environment, Food and Rural Affairs"
"Attorney General's Office",2009,2024,"AGO, AGO0000","Attorney General's Departments, Attorney General's departments"
"Border Force",2012,2013,,"Home Office"
"Building Digital UK",2022,2024,"BDUK","Digital, Culture, Media & Sport, Department for Science, Innovation and Technology"
"Buying Solutions",2009,2010,,"Chancellor's Other Departments, Cabinet Office"
"Cabinet Office",2009,2024,"CO, CO0000","Cabinet Office"
"Cabinet Office (excluding agencies)",2010,2011,,"Cabinet Office"
"Central Office of Information",2009,2010,,"Cabinet Office"
"Centre for Environment, Fisheries and Aquaculture Science",2009,2024,"CEFAS, CEFAS0000","Environment, Food and Rural Affairs, Environment, Food & Rural Affairs"
"Centre for Environment, Food and Aquaculture Science",2010,2014,,"Environment, Food and Rural Affairs, Department for, Environment, Food & Rural Affairs"
"Centre for Fisheries and Aquaculture Science",2013,2013,,"Environemnt, Food and Rural Affairs"
"Charity Commission",2010,2024,"CC, CC0000","Charity Commission"
"Child Maintenance Group",2012,2012,,"Work and Pensions"
"Child Maintenance and Enforcement Commission",2011,2011,,"Work and Pensions"
"Child Maintenance and Enforcement Commission - Child Support Agency",2010,2010,,"Work and Pensions, Department for"
"Child Maintenance and Enforcement Commission - Commission Executive",2010,2010,,"Work and Pensions, Department for"
"Child Maintenance and Enforcement Commission - Corporate Services",2010,2010,,"Work and Pensions, Department for"
"Child Support Agency",2009,2009,,"Child Maintenance and Enforcement Commission"
"Civil Service 2010 benchmark (median)",2010,2010,,"Civil Service overall"
"Civil Service 2011 benchmark (median)",2011,2011,,"Civil Service"
"Civil Service Benchmark (median)",2019,2020,"CS_MEDIAN","000_CS, All Civil Service"
"Civil Service HR",2016,2018,"CSHR","Cabinet Office"
"Civil Service benchmark",2009,2013,,"Civil Service"
"Civil Service benchmark (median)",2014,2018,"CIVILSERVICE","Civil Service"
"Commission Executive",2009,2009,,"Child Maintenance and Enforcement Commission"
"Companies House",2009,2024,"CH, CH0000","Business, Innovation and Skills, Business, Innovation and Skills, Department for, Business, Innovation & Skills, Business, Energy & Industrial Strategy, Business, Energy and Industrial Strategy, Department for Business and Trade"
"Competition and Markets Authority",2014,2024,"CMA, CMA0000","Business, Innovation & Skills, Business, Energy & Industrial Strategy, Business, Energy and Industrial Strategy, Department for Business and Trade"
"Corporate Services",2009,2009,,"Child Maintenance and Enforcement Commission"
"Criminal Injuries Compensation Authority",2009,2024,"CICA, CICA0000","Justice, Justice, Ministry of"
"Criminal Records Bureau",2009,2012,,"Home Office"
"Crown Commercial Service",2014,2024,"CCS, CCS0000","Cabinet Office"
