"group","year_from","year_to"
"000_CS",2019,2019
"All Civil Servants",2021,2024
"All Civil Service",2020,2020
"Attorney General's Departments",2009,2024
"Attorney General's departments",2012,2018
"Business, Energy & Industrial Strategy",2016,2018
"Business, Energy and Industrial Strategy",2019,2022
"Business, Innovation & Skills",2014,2015
"Business, Innovation and Skills",2009,2013
"Business, Innovation and Skills, Department for",2010,2010
"Cabinet Office",2009,2024
"Chancellor's Other Departments",2009,2009
"Chancellor's other departments",2012,2012
"Chancellors' Other Departments",2013,2013
"Charity Commission",2010,2024
"Child Maintenance and Enforcement Commission",2009,2009
"Children, Schools and Families",2009,2009
"Civil Service",2009,2018
"Civil Service overall",2010,2010
"Communities and Local Government",2009,2017
"Communities and Local Government, Department for",2010,2010
"Culture, Media & Sport",2014,2016
"Culture, Media and Sport",2009,2024
"Culture, Media and Sport, Department for",2010,2010
"Defence",2009,2024
"Defence, Ministry of",2010,2010
"Department for Business and Trade",2023,2024
"Department for Education",2015,2018
"Department for Exiting the European Union",2016,2018
"Department for International Development",2013,2018
"Department for International Trade",2016,2018
"Department for Science, Innovation and Technology",2023,2024
"Department of Energy and Climate Change",2015,2015
"Digital, Culture, Media & Sport",2017,2022
"Digital, Culture, Media and Sport",2019,2022
"Education",2011,2024
"Education, Department for",2010,2010
"Energy & Climate Change",2013,2013
"Energy Security and Net Zero",2023,2024
"Energy and Climate Change",2009,2014
"Energy and Climate Change< Department of",2010,2010
"Environemnt, Food and Rural Affairs",2013,2013
"Environment, Food & Rural Affairs",2014,2018
"Environment, Food and Rural Affairs",2009,2024
"Environment, Food and Rural Affairs, Department for",2010,2010
"Estyn",2012,2024
"Exiting the European Union",2019,2019
"Export Credit Guarantee Department",2009,2009
"Export Credits Guarantee Department",2010,2011
"Food Standards Agency",2009,2024
"Foreign & Commonwealth Office",2014,2018
"Foreign and Commonwealth Office",2009,2022
"Foreign, Commonwealth and Development Office",2020,2024
"Government Actuary's Department",2015,2024
"Government Equalities Office",2010,2018
"Government Legal Department",2016,2024
"HM Inspectorate of Constabulary",2015,2016
"HM Inspectorate of Constabulary and Fire & Rescue Services",2017,2023
"HM Inspectorate of Constabulary and Fire and Rescue Services",2024,2024
"HM Revenue & Customs",2009,2023
"HM Revenue and Customs",2010,2024
"HM Treasury",2009,2014
"HM Treasury Group",2019,2024
"HM Treasury and Chancellor's departments",2018,2018
"HM Treasury and Chancellor's other departments",2015,2017
"Health",2009,2017
"Health and Social Care",2018,2024
"Health, Department of",2010,2010
"Home Office",2009,2024
"Housing, Communities and Local Government",2018,2021
"Institute for Apprenticeships and Techincal Education",2020,2020
"Institute for Apprenticeships and Technical Education",2021,2024
"International Development",2009,2019
"International Development, Department for",2010,2010
"International Trade",2019,2022
"Justice",2009,2024
"Justice, Ministry of",2010,2010
"Levelling Up, Housing and Communities",2022,2023
"Ministry of Housing, Communities and Local Government",2024,2024
"National Crime Agency",2013,2024
"National Savings and Investments",2015,2024
"Office for Standards in Education",2012,2012
"Office of Gas and Electricity Markets",2011,2013
"Office of Qualifications and Examinations Regulation",2011,2024
"Office of Rail Regulation",2012,2013
"Office of Rail and Road",2016,2024
"Office of Standards in Education",2013,2013
"Office of Standards in Education, Children's Services and Skills",2011,2011
"Ofgem",2014,2024
"Ofqual",2016,2018
"Ofsted",2010,2024
"Scotland Office, Office of the Advocate General, Wales Office and Northern Ireland Office",2013,2013
"Scotland Office, Wales Office and Northern Ireland Office",2012,2012
"Scottish Government",2009,2024
"Statistics",2013,2013
"Statistics Authority",2010,2011
"Teritorial Offices",2015,2016
"Territorial Offices",2014,2024
"Transport",2009,2024
"Transport, Department for",2010,2010
"UK Export Finance",2012,2024
"UK Statistics Authority",2009,2024
"Water Regulation Services Authority (Ofwat)",2019,2023
"Water Services Regulation Authority (Ofwat)",2024,2024
"Welsh Assembly Government",2010,2010
"Welsh Government",2011,2024
"Welsh Revenue Authority",2018,2024
"Work and Pensions",2009,2024
"Work and Pensions, Department for",2010,2010
