uid_demcat_txt,uid_demcat_num,resp_type,label_short,label_long,label_full
allrsp,0.00.00.000,primary,All respondents,All respondents,All respondents
grade_aoaa,1.01.00.001,primary,AO/AA,AO/AA equivalent,Grade: AO/AA equivalent
grade_eo,1.01.00.002,primary,EO,EO equivalent,Grade: EO equivalent
grade_seoheo,1.01.00.003,primary,SEO/HEO,SEO/HEO equivalent,Grade: SEO/HEO equivalent
grade_g6g7,1.01.00.004,primary,Grade 6/7,Grade 6/7 equivalent,Grade: Grade 6/7 equivalent
grade_scs,1.01.00.005,primary,SCS,SCS equivalent,Grade: SCS equivalent
locctr_eng,1.02.00.001,primary,England,England,Country: England
locctr_sct,1.02.00.002,primary,Scotland,Scotland,Country: Scotland
locctr_wls,1.02.00.003,primary,Wales,Wales,Country: Wales
locctr_nir,1.02.00.004,primary,Northern Ireland,Northern Ireland,Country: Northern Ireland
locctr_out,1.02.00.005,primary,Outside the UK,Outside the UK,Country: Outisde the UK
loceng_emd,1.02.01.101,primary,East Midlands,East Midlands,Region: East Midlands
loceng_est,1.02.01.102,primary,East of England,East of England,Region: East of England
loceng_lon,1.02.01.103,primary,London,London,Region: London
loceng_nee,1.02.01.104,primary,North East England,North East England,Region: North East England
loceng_nwe,1.02.01.105,primary,North West England,North West England,Region: North West England
loceng_see,1.02.01.106,primary,South East England,South East England,Region: South East England
loceng_swe,1.02.01.107,primary,South West England,South West England,Region: South West England
loceng_wmd,1.02.01.108,primary,West Midlands,West Midlands,Region: West Midlands
loceng_yrk,1.02.01.109,primary,Yorkshire and the Humber,Yorkshire and the Humber,Region: Yorkshire and the Humber
locsct_cen,1.02.02.001,primary,Central Scotland,Central Scotland,Region: Central Scotland
locsct_edb,1.02.02.002,primary,Edinburgh,Edinburgh,Region: Edinburgh
locsct_glg,1.02.02.003,primary,Glasgow,Glasgow,Region: Glasgow
locsct_his,1.02.02.004,primary,Highlands and Islands,Highlands and Islands,Region: Highlands and Islands
locsct_mds,1.02.02.005,primary,Mid-Scotland,Mid-Scotland,Region: Mid-Scotland
locsct_nes,1.02.02.006,primary,North East Scotland,North East Scotland,Region: North East Scotland
locsct_ssc,1.02.02.007,primary,South Scotland,South Scotland,Region: South Scotland
locsct_wsc,1.02.02.008,primary,West Scotland,West Scotland,Region: West Scotland
locwls_mdw,1.02.03.001,primary,Mid-Wales,Mid-Wales,Region: Mid-Wales
locwls_nwl,1.02.03.002,primary,North Wales,North Wales,Region: North Wales
locwls_sew,1.02.03.003,primary,South East Wales,South East Wales,Region: South East Wales
locwls_sww,1.02.03.004,primary,South West Wales,South West Wales,Region: South West Wales
timjob_lt006m,1.03.01.001,primary,Less than 6 months,Less than 6 months,Time in job: Less than 6 months
timjob_lt001y,1.03.01.002,primary,Less than 1 year,Less than 1 year,Time in job: Less than 1 year
timjob_06m01y,1.03.01.003,primary,6 months to 1 year,At least 6 months but less than 1 year,Time in job: At least 6 months but less than 1 year
timjob_01y03y,1.03.01.004,primary,1 to 3 years,At least 1 year but less than 3 years,Time in job: At least 1 year but less than 3 years
