"uid_demcat_txt","uid_demcat_num","sort_order","resp_type","label_short","label_long"
"agebnd_1634",,1,,,
"agebnd_3544",,2,,,
"agebnd_4554",,3,,,
"agebnd_55pl",,4,,,
"agebnd_pns",,5,,,
"allrsp",,1,,,
"carebl_agr",,1,,,
"carebl_dis",,2,,,
"carebl_nad",,3,,,
"carebl_sag",,4,,,
"carebl_sda",,5,,,
"careif_agr",,1,,,
"careif_dis",,2,,,
"careif_nad",,3,,,
"careif_sag",,4,,,
"careif_sda",,5,,,
"careps_dkn",,1,,,
"careps_hps",,2,,,
"careps_nps",,3,,,
"carero_crr",,1,,,
"carero_ncr",,3,,,
"carero_pns",,5,,,
"childc_chl",,1,,,
"childc_lnp",,3,,,
"childc_nch",,4,,,
"childc_pns",,6,,,
"cistrn_cis",,1,,,
"cistrn_trn",,2,,,
"citizn_brt",,1,,,
"citizn_cmw",,2,,,
"citizn_dkp",,3,,,
"citizn_eur",,4,,,
"citizn_oth",,5,,,
"devsch_app",,1,,,
"devsch_bbo",,2,,,
"devsch_dir",,3,,,
"devsch_fls",,4,,,
"devsch_fst",,5,,,
"devsch_fst_cur",,6,,,
"devsch_fst_prv",,7,,,
"devsch_idp",,8,,,
"devsch_nap",,9,,,
"devsch_not",,10,,,
"devsch_oth",,11,,,
"devsch_oth_cur",,13,,,
"devsch_oth_prv",,14,,,
"devsch_pap",,15,,,
"devsch_sls",,16,,,
"emplst_con",,1,,,
"emplst_fix",,2,,,
"emplst_ocs",,3,,,
"emplst_prm",,4,,,
"emplst_sec",,5,,,
"emplst_tmp",,6,,,
"ethbin_min",,1,,,
"ethbin_wht",,2,,,
"ethdet_asn_bgd",,1,,,
"ethdet_asn_chn",,2,,,
"ethdet_asn_ind",,3,,,
"ethdet_asn_oth",,4,,,
"ethdet_asn_pak",,5,,,
"ethdet_blk_afr",,6,,,
"ethdet_blk_crb",,7,,,
"ethdet_blk_oth",,8,,,
"ethdet_mxd_oth",,9,,,
"ethdet_mxd_waf",,10,,,
"ethdet_mxd_was",,11,,,
"ethdet_mxd_wbc",,12,,,
"ethdet_oth_arb",,13,,,
"ethdet_oth_oth",,14,,,
"ethdet_pns",,15,,,
"ethdet_wht_brt",,16,,,
"ethdet_wht_gyp",,17,,,
"ethdet_wht_iri",,18,,,
"ethdet_wht_oth",,19,,,
"ethdet_wht_rom",,20,,,
"ethgrp_asn",,1,,,
"ethgrp_blk",,2,,,
"ethgrp_mxd",,3,,,
"ethgrp_oth",,4,,,
"ethgrp_pns",,5,,,
"ethgrp_wht",,6,,,
"functn_anl",,1,,,
"functn_aud",,2,,,
"functn_cfr",,3,,,
"functn_cmc",,4,,,
"functn_cms",,5,,,
"functn_cns",,6,,,
"functn_dbt",,7,,,
"functn_del",,8,,,
"functn_dig",,9,,,
"functn_fed",,10,,,
"functn_fin",,11,,,
"functn_gtm",,12,,,
"functn_hr",,13,,,
"functn_int",,14,,,
"functn_kim",,15,,,
"functn_leg",,16,,,
"functn_oth",,17,,,
"functn_pol",,18,,,
"functn_prj",,19,,,
"functn_prp",,20,,,
"functn_sce",,21,,,
"functn_sec",,22,,,
"functn_tax",,23,,,
"functn_trd",,24,,,
"gendid_cisman",,1,,,
"gendid_ciswom",,2,,,
"gendid_dif",,3,,,
"gendid_nbn",,4,,,
"gendid_oth",,5,,,
"gendid_sam",,6,,,
"gendid_trnman",,7,,,
"gendid_trnwom",,8,,,
"grade_aoaa",,1,,,
"grade_eo",,2,,,
"grade_g6g7",,3,,,
"grade_scs",,4,,,
"grade_seoheo",,5,,,
"locctr_eng",,1,,,
"locctr_nir",,1,,,
"locctr_out",,2,,,
"locctr_sct",,3,,,
"locctr_wls",,4,,,
"loceng_emd",,5,,,
"loceng_est",,6,,,
"loceng_lon",,7,,,
"loceng_nee",,8,,,
"loceng_nwe",,9,,,
"loceng_see",,10,,,
"loceng_swe",,11,,,
"loceng_wmd",,12,,,
"loceng_yrk",,13,,,
"locsct_cen",,1,,,
"locsct_edb",,2,,,
"locsct_glg",,3,,,
"locsct_his",,4,,,
"locsct_mds",,5,,,
"locsct_nes",,6,,,
"locsct_ssc",,7,,,
"locsct_wsc",,8,,,
"locwls_mdw",,1,,,
"locwls_nwl",,2,,,
"locwls_sew",,3,,,
"locwls_sww",,4,,,
"ltcimp_lot",,1,,,
"ltcimp_low",,2,,,
"ltcimp_ncd",,3,,,
"ltcimp_nim",,4,,,
"ltcond_ltc",,1,,,
"ltcond_ncd",,2,,,
"manage_mgr",,1,,,
"manage_nmg",,3,,,
"menhel_exc",,1,,,
"menhel_fai",,2,,,
"menhel_god",,3,,,
"menhel_por",,4,,,
"menhel_vgd",,5,,,
"menops_mps",,1,,,
"menops_nmp",,2,,,
"nssec_hig",,1,,,
"nssec_int",,2,,,
"nssec_nwk",,3,,,
"nssec_rou",,4,,,
"occdet_crp_aud",,1,,,
"occdet_crp_cmc",,2,,,
"occdet_crp_dig",,3,,,
"occdet_crp_est",,4,,,
"occdet_crp_fin",,5,,,
"occdet_crp_hr",,6,,,
"occdet_crp_kim",,7,,,
"occdet_crp_prj",,8,,,
"occdet_crp_prv",,9,,,
"occdet_crp_sec",,10,,,
"occdet_crp_srt",,11,,,
"occdet_ops_adm",,12,,,
"occdet_ops_cal",,13,,,
"occdet_ops_cas",,14,,,
"occdet_ops_dbt",,15,,,
"occdet_ops_fac",,16,,,
"occdet_ops_frd",,17,,,
"occdet_ops_inv",,18,,,
"occdet_ops_isp",,19,,,
"occdet_ops_log",,20,,,
"occdet_ops_mgt",,21,,,
"occdet_ops_off",,22,,,
"occdet_ops_oth",,23,,,
"occdet_ops_prc",,24,,,
"occdet_ops_prp",,25,,,
"occdet_ops_tax",,26,,,
"occdet_ops_tra",,27,,,
"occdet_oth",,28,,,
"occdet_pol",,29,,,
"occdet_spc_anm",,30,,,
"occdet_spc_cms",,31,,,
"occdet_spc_crt",,32,,,
"occdet_spc_ecn",,33,,,
"occdet_spc_eng",,34,,,
"occdet_spc_hel",,35,,,
"occdet_spc_leg",,36,,,
"occdet_spc_opr",,37,,,
"occdet_spc_oth",,38,,,
"occdet_spc_res",,39,,,
"occdet_spc_sci",,40,,,
"occgrp_crp",,1,,,
"occgrp_ops",,2,,,
"occgrp_oth",,3,,,
"occgrp_pol",,4,,,
"occgrp_spc",,5,,,
"prqual_bel",,1,,,
"prqual_dkn",,2,,,
"prqual_nap",,3,,,
"prqual_noq",,4,,,
"prqual_one",,5,,,
"prqual_oth",,6,,,
"prqual_pns",,7,,,
"relign_bud",,1,,,
"relign_chr",,2,,,
"relign_hin",,3,,,
"relign_jew",,4,,,
"relign_mus",,5,,,
"relign_nor",,6,,,
"relign_oth",,7,,,
"relign_pns",,8,,,
"relign_sik",,9,,,
"school_dkn",,1,,,
"school_inb",,2,,,
"school_inn",,3,,,
"school_oth",,4,,,
"school_out",,6,,,
"school_pns",,7,,,
"school_sns",,8,,,
"school_sse",,9,,,
"sebslf_dkn",,1,,,
"sebslf_low",,2,,,
"sebslf_not",,5,,,
"sebslf_pns",,6,,,
"sexgen_fem",,1,,,
"sexgen_mal",,2,,,
"sexgen_oth",,3,,,
"sexogr_bis",,1,,,
"sexogr_gol",,2,,,
"sexogr_het",,3,,,
"sexogr_lgb",,4,,,
"sexogr_oth",,5,,,
"sexorn_bis",,1,,,
"sexorn_gol",,2,,,
"sexorn_het",,3,,,
"sexorn_oth",,4,,,
"sexorn_pns",,6,,,
"timciv_01y03y",,1,,,
"timciv_03y05y",,2,,,
"timciv_05y10y",,3,,,
"timciv_06m01y",,4,,,
"timciv_10y20y",,5,,,
"timciv_gt010y",,6,,,
"timciv_gt020y",,7,,,
"timciv_lt001y",,8,,,
"timciv_lt006m",,9,,,
"timjob_01y03y",,1,,,
"timjob_03y05y",,2,,,
"timjob_05y10y",,3,,,
"timjob_06m01y",,4,,,
"timjob_10y20y",,5,,,
"timjob_gt010y",,6,,,
"timjob_gt020y",,7,,,
"timjob_lt001y",,8,,,
"timjob_lt006m",,9,,,
"timorg_01y03y",,1,,,
"timorg_03y05y",,2,,,
"timorg_05y10y",,3,,,
"timorg_06m01y",,4,,,
"timorg_10y20y",,5,,,
"timorg_gt010y",,6,,,
"timorg_gt020y",,7,,,
"timorg_lt001y",,8,,,
"timorg_lt006m",,9,,,
"wadjmg_agr",,1,,,
"wadjmg_dis",,2,,,
"wadjmg_nad",,3,,,
"wadjmg_sag",,4,,,
"wadjmg_sda",,5,,,
"wadjps_dkn",,1,,,
"wadjps_nop",,2,,,
"wadjps_psh",,4,,,
"wadjps_psn",,5,,,
"wadjps_psp",,6,,,
"wkpadj_cmp",,1,,,
"wkpadj_mst",,2,,,
"wkpadj_nar",,3,,,
"wkpadj_not",,4,,,
"wkpadj_prt",,5,,,
"wkptrn_ful",,1,,,
"wkptrn_jsh",,2,,,
"wkptrn_prt",,3,,,
"wrkplc_hom",,1,,,
"wrkplc_hyb",,2,,,
"wrkplc_mob",,3,,,
"wrkplc_wpl",,4,,,
