uid_demq_txt,uid_cat_txt,uid_demcat_txt
agebnd,age_1634,agebnd_1634
agebnd,age_3544,agebnd_3544
agebnd,age_4554,agebnd_4554
agebnd,age_55pl,agebnd_55pl
agebnd,zzz_pns,agebnd_pns
carebl,zzz_agr,carebl_agr
carebl,zzz_dis,carebl_dis
carebl,zzz_nad,carebl_nad
carebl,zzz_sag,carebl_sag
carebl,zzz_sda,carebl_sda
carero,crr_crr,carero_crr
carero,crr_ncr,carero_ncr
carero,zzz_no,carero_ncr
carero,zzz_pns,carero_pns
carero,zzz_yes,carero_crr
careif,zzz_agr,careif_agr
careif,zzz_dis,careif_dis
careif,zzz_nad,careif_nad
careif,zzz_sag,careif_sag
careif,zzz_sda,careif_sda
careps,zzz_dkn_wht,careps_dkn
careps,zzz_no,careps_nps
careps,zzz_yes,careps_hps
childc,chl_chl,childc_chl
childc,chl_lon,childc_lnp
childc,chl_non,childc_nch
childc,zzz_no,childc_nch
childc,zzz_pns,childc_pns
childc,zzz_yes,childc_chl
cistrn,gid_cis_all,cistrn_cis
cistrn,gid_trn_all,cistrn_trn
citizn,ctz_brt,citizn_brt
citizn,ctz_cmw,citizn_cmw
citizn,ctz_eur,citizn_eur
citizn,ctz_oth,citizn_oth
citizn,zzz_dkp,citizn_dkp
devsch,dev_app,devsch_app
devsch,dev_bbo,devsch_bbo
devsch,dev_dir,devsch_dir
devsch,dev_fls,devsch_fls
devsch,dev_fst,devsch_fst
devsch,dev_fst_cur,devsch_fst_cur
devsch,dev_fst_prv,devsch_fst_prv
devsch,dev_idp,devsch_idp
devsch,dev_not,devsch_not
devsch,dev_oth,devsch_oth
devsch,dev_oth_cur,devsch_oth_cur
devsch,dev_oth_prv,devsch_oth_prv
devsch,dev_pap,devsch_pap
devsch,dev_sls,devsch_sls
devsch,zzz_not_app,devsch_nap
devsch,zzz_oth,devsch_oth
emplst,emp_con,emplst_con
emplst,emp_fix,emplst_fix
emplst,emp_ocs,emplst_ocs
emplst,emp_prm,emplst_prm
emplst,emp_sec,emplst_sec
emplst,emp_tmp,emplst_tmp
ethbin,eth_min,ethbin_min
ethbin,eth_wht_all,ethbin_wht
ethdet,eth_asn_bgd,ethdet_asn_bgd
ethdet,eth_asn_chn,ethdet_asn_chn
ethdet,eth_asn_ind,ethdet_asn_ind
ethdet,eth_asn_oth,ethdet_asn_oth
ethdet,eth_asn_pak,ethdet_asn_pak
ethdet,eth_blk_afr,ethdet_blk_afr
ethdet,eth_blk_crb,ethdet_blk_crb
ethdet,eth_blk_oth,ethdet_blk_oth
ethdet,eth_mxd_oth,ethdet_mxd_oth
ethdet,eth_mxd_waf,ethdet_mxd_waf
ethdet,eth_mxd_was,ethdet_mxd_was
ethdet,eth_mxd_wbc,ethdet_mxd_wbc
ethdet,eth_oth_arb,ethdet_oth_arb
ethdet,eth_oth_oth,ethdet_oth_oth
ethdet,eth_wht_brt,ethdet_wht_brt
ethdet,eth_wht_gyp,ethdet_wht_gyp
ethdet,eth_wht_iri,ethdet_wht_iri
ethdet,eth_wht_oth,ethdet_wht_oth
ethdet,eth_wht_rom,ethdet_wht_rom
ethdet,zzz_pns,ethdet_pns
ethgrp,eth_asn_all,ethgrp_asn
ethgrp,eth_blk_all,ethgrp_blk
ethgrp,eth_mxd_all,ethgrp_mxd
ethgrp,eth_oth_all,ethgrp_oth
ethgrp,eth_wht_all,ethgrp_wht
ethgrp,zzz_pns,ethgrp_pns
functn,fnc_anl,functn_anl
functn,fnc_aud,functn_aud
functn,fnc_cfr,functn_cfr
functn,fnc_cmc,functn_cmc
functn,fnc_cms,functn_cms
functn,fnc_cns,functn_cns
functn,fnc_dbt,functn_dbt
functn,fnc_del,functn_del
functn,fnc_dig,functn_dig
functn,fnc_fed,functn_fed
functn,fnc_fin,functn_fin
functn,fnc_gtm,functn_gtm
functn,fnc_hr,functn_hr
functn,fnc_int,functn_int
functn,fnc_kim,functn_kim
functn,fnc_leg,functn_leg
functn,fnc_oth,functn_oth
functn,fnc_prj,functn_prj
functn,fnc_prp,functn_prp
functn,fnc_sce,functn_sce
functn,fnc_sec,functn_sec
functn,fnc_tax,functn_tax
functn,fnc_trd,functn_trd
functn,zzz_pol,functn_pol
gendid,gid_cis_man,gendid_cisman
gendid,gid_cis_wom,gendid_ciswom
gendid,gid_dif,gendid_dif
gendid,gid_nbn,gendid_nbn
gendid,gid_oth,gendid_oth
gendid,gid_sam,gendid_sam
gendid,gid_trn_man,gendid_trnman
gendid,gid_trn_wom,gendid_trnwom
grade,grade_aoaa,grade_aoaa
grade,grade_eo,grade_eo
grade,grade_g6g7,grade_g6g7
grade,grade_scs,grade_scs
grade,grade_seoheo,grade_seoheo
locctr,loc_ctr_eng,locctr_eng
locctr,loc_ctr_nir,locctr_nir
locctr,loc_ctr_out,locctr_out
locctr,loc_ctr_sct,locctr_sct
locctr,loc_ctr_wls,locctr_wls
locctr,loc_eng_emd,loceng_emd
locctr,loc_eng_est,loceng_est
locctr,loc_eng_lon,loceng_lon
locctr,loc_eng_nee,loceng_nee
locctr,loc_eng_nwe,loceng_nwe
locctr,loc_eng_see,loceng_see
locctr,loc_eng_swe,loceng_swe
locctr,loc_eng_wmd,loceng_wmd
locctr,loc_eng_yrk,loceng_yrk
loceng,loc_ctr_nir,locctr_nir
loceng,loc_ctr_out,locctr_out
loceng,loc_ctr_sct,locctr_sct
loceng,loc_ctr_wls,locctr_wls
loceng,loc_eng_emd,loceng_emd
loceng,loc_eng_est,loceng_est
loceng,loc_eng_lon,loceng_lon
loceng,loc_eng_nee,loceng_nee
loceng,loc_eng_nwe,loceng_nwe
loceng,loc_eng_see,loceng_see
loceng,loc_eng_swe,loceng_swe
loceng,loc_eng_wmd,loceng_wmd
loceng,loc_eng_yrk,loceng_yrk
locsct,loc_sct_cen,locsct_cen
locsct,loc_sct_edb,locsct_edb
locsct,loc_sct_glg,locsct_glg
locsct,loc_sct_his,locsct_his
locsct,loc_sct_mid,locsct_mds
locsct,loc_sct_nes,locsct_nes
locsct,loc_sct_sth,locsct_ssc
locsct,loc_sct_wst,locsct_wsc
locwls,loc_wls_mid,locwls_mdw
locwls,loc_wls_nth,locwls_nwl
locwls,loc_wls_sew,locwls_sew
locwls,loc_wls_sww,locwls_sww
timciv,yrs_fiv_ten,timciv_05y10y
timciv,yrs_les_one,timciv_lt001y
timciv,yrs_les_six,timciv_lt006m
timciv,yrs_one_thr,timciv_01y03y
timciv,yrs_six_one,timciv_06m01y
timciv,yrs_ten_mor,timciv_gt010y
timciv,yrs_ten_twe,timciv_10y20y
timciv,yrs_thr_fiv,timciv_03y05y
timciv,yrs_twe_mor,timciv_gt020y
timjob,yrs_fiv_ten,timjob_05y10y
timjob,yrs_les_one,timjob_lt001y
timjob,yrs_les_six,timjob_lt006m
timjob,yrs_one_thr,timjob_01y03y
timjob,yrs_six_one,timjob_06m01y
timjob,yrs_ten_mor,timjob_gt010y
timjob,yrs_ten_twe,timjob_10y20y
timjob,yrs_thr_fiv,timjob_03y05y
timjob,yrs_twe_mor,timjob_gt020y
timorg,yrs_fiv_ten,timorg_05y10y
timorg,yrs_les_one,timorg_lt001y
timorg,yrs_les_six,timorg_lt006m
timorg,yrs_one_thr,timorg_01y03y
timorg,yrs_six_one,timorg_06m01y
timorg,yrs_ten_mor,timorg_gt010y
timorg,yrs_ten_twe,timorg_10y20y
timorg,yrs_thr_fiv,timorg_03y05y
timorg,yrs_twe_mor,timorg_gt020y
ltcimp,ltc_imp_lit,ltcimp_low
ltcimp,ltc_imp_lot,ltcimp_lot
ltcimp,ltc_imp_non,ltcimp_nim
ltcimp,ltc_imp,ltcimp_imp
ltcimp,ltc_non,ltcimp_ncd
ltcimp,ltc_noi,ltcimp_noi
ltcond,ltc_ltc,ltcond_ltc
ltcond,ltc_non,ltcond_ncd
manage,mgr_mgr,manage_mgr
manage,mgr_non,manage_nmg
manage,zzz_no,manage_nmg
manage,zzz_yes,manage_mgr
menhel,mhl_exc,menhel_exc
menhel,mhl_fai,menhel_fai
menhel,mhl_god,menhel_god
menhel,mhl_por,menhel_por
menhel,mhl_vgd,menhel_vgd
menops,zzz_no,menops_nmp
menops,zzz_yes,menops_mps
nssec,seb_nse_hig,nssec_hig
nssec,seb_nse_int,nssec_int
nssec,seb_nse_nwk,nssec_nwk
nssec,seb_nse_rou,nssec_rou
occdet,occ_crp_aud,occdet_crp_aud
occdet,occ_crp_cmc,occdet_crp_cmc
occdet,occ_crp_est,occdet_crp_est
occdet,occ_crp_fin,occdet_crp_fin
occdet,occ_crp_hr,occdet_crp_hr
occdet,occ_crp_dig,occdet_crp_dig
occdet,occ_crp_kim,occdet_crp_kim
occdet,occ_ops_adm,occdet_ops_adm
occdet,occ_ops_cal,occdet_ops_cal
occdet,occ_ops_cas,occdet_ops_cas
occdet,occ_ops_dbt,occdet_ops_dbt
occdet,occ_ops_fac,occdet_ops_fac
occdet,occ_ops_frd,occdet_ops_frd
occdet,occ_ops_inv,occdet_ops_inv
occdet,occ_ops_isp,occdet_ops_isp
occdet,occ_ops_log,occdet_ops_log
occdet,occ_ops_mgt,occdet_ops_mgt
occdet,occ_ops_off,occdet_ops_off
occdet,occ_ops_oth,occdet_ops_oth
occdet,occ_ops_prc,occdet_ops_prc
occdet,occ_ops_prp,occdet_ops_prp
occdet,occ_ops_tax,occdet_ops_tax
occdet,occ_ops_tra,occdet_ops_tra
occdet,occ_crp_prj,occdet_crp_prj
occdet,occ_crp_prv,occdet_crp_prv
occdet,occ_crp_sec,occdet_crp_sec
occdet,occ_spc_anm,occdet_spc_anm
occdet,occ_spc_cms,occdet_spc_cms
occdet,occ_spc_crt,occdet_spc_crt
occdet,occ_spc_ecn,occdet_spc_ecn
occdet,occ_spc_eng,occdet_spc_eng
occdet,occ_spc_hel,occdet_spc_hel
occdet,occ_spc_leg,occdet_spc_leg
occdet,occ_spc_opr,occdet_spc_opr
occdet,occ_spc_oth,occdet_spc_oth
occdet,occ_spc_res,occdet_spc_res
occdet,occ_spc_sci,occdet_spc_sci
occdet,occ_spc_sts,occdet_spc_sts
occdet,occ_crp_srt,occdet_crp_srt
occdet,zzz_oth,occdet_oth
occdet,zzz_pol,occdet_pol
occgrp,occ_grp_crp,occgrp_crp
occgrp,occ_grp_ops,occgrp_ops
occgrp,occ_grp_spc,occgrp_spc
occgrp,zzz_oth,occgrp_oth
occgrp,zzz_pol,occgrp_pol
prqual,qul_bel,prqual_bel
prqual,qul_non,prqual_noq
prqual,qul_one,prqual_one
prqual,zzz_dkn,prqual_dkn
prqual,zzz_not_app,prqual_nap
prqual,zzz_oth,prqual_oth
prqual,zzz_pns,prqual_pns
relign,rel_bud,relign_bud
relign,rel_chr,relign_chr
relign,rel_hin,relign_hin
relign,rel_jew,relign_jew
relign,rel_mus,relign_mus
relign,rel_non,relign_nor
relign,rel_oth,relign_oth
relign,rel_sik,relign_sik
relign,zzz_pns,relign_pns
schtyp,sch_ind_bur,schtyp_inb
schtyp,sch_ind_nob,schtyp_inn
schtyp,sch_oth,schtyp_oth
schtyp,sch_out,schtyp_out
schtyp,sch_sat_nse,schtyp_sns
schtyp,sch_sat_sel,schtyp_sse
schtyp,zzz_dkn,schtyp_dkn
schtyp,zzz_oth,schtyp_oth
schtyp,zzz_pns,schtyp_pns
sebslf,seb_slf_low,sebslf_low
sebslf,seb_slf_not,sebslf_not
sebslf,zzz_dkn,sebslf_dkn
sebslf,zzz_no,sebslf_not
sebslf,zzz_pns,sebslf_pns
sebslf,zzz_yes,sebslf_low
sexgen,gid_fem,sexgen_fem
sexgen,gid_mal,sexgen_mal
sexgen,gid_oth,sexgen_oth
sexgen,zzz_oth,sexgen_oth
sexogr,sxo_bis,sexogr_bis
sexogr,sxo_gol,sexogr_gol
sexogr,sxo_het,sexogr_het
sexogr,sxo_lgb,sexogr_lgb
sexogr,zzz_oth,sexogr_oth
sexorn,sxo_bis,sexorn_bis
sexorn,sxo_gol,sexorn_gol
sexorn,sxo_het,sexorn_het
sexorn,sxo_oth,sexorn_oth
sexorn,zzz_oth,sexorn_oth
sexorn,zzz_pns,sexorn_pns
wadjmg,zzz_agr,wadjmg_agr
wadjmg,zzz_dis,wadjmg_dis
wadjmg,zzz_nad,wadjmg_nad
wadjmg,zzz_sag,wadjmg_sag
wadjmg,zzz_sda,wadjmg_sda
wadjps,adj_nop,wadjps_nop
wadjps,adj_pas_yan,wadjps_psh
wadjps,adj_pas_ybu,wadjps_psn
wadjps,zzz_dkn_wht,wadjps_dkn
wadjps,zzz_no,wadjps_nop
wadjps,zzz_yes,wadjps_psp
wkpadj,adj_cmp,wkpadj_cmp
wkpadj,adj_mst,wkpadj_mst
wkpadj,adj_nar,wkpadj_nar
wkpadj,adj_not,wkpadj_not
wkpadj,adj_prt,wkpadj_prt
wkptrn,wpt_ful,wkptrn_ful
wkptrn,wpt_jsh,wkptrn_jsh
wkptrn,wpt_prt,wkptrn_prt
wrkplc,wpl_hom,wrkplc_hom
wrkplc,wpl_hyb,wrkplc_hyb
wrkplc,wpl_mob,wrkplc_mob
wrkplc,wpl_wpl,wrkplc_wpl
,all_civ_srv,allrsp
