Measure,2009,2010,2011,2012,2013,Change from ’09 to ‘10 ,Change from ‘10 to ‘11 ,Change from ‘11 to ‘12 ,Change from‘12 to ‘13 
Employee engagement index,70%,69%,69%,71%,71%,-1,0,2,0
My work ,91%,91%,91%,92%,92%,0,0,1,0
Organisational objectives and purpose ,93%,91%,92%,93%,92%,-2,1,1,-1
My manager ,77%,76%,77%,79%,79%,-1,1,2,0
My team ,92%,93%,93%,93%,94%,1,0,0,1
Learning and development ,69%,63%,64%,66%,69%,-6,1,2,3
Inclusion and fair treatment ,87%,86%,86%,87%,87%,-1,0,1,0
Resources and workload ,79%,79%,79%,79%,78%,0,0,0,-1
Pay and benefits ,47%,45%,35%,32%,34%,-2,-10,-3,2
Leadership and managing change ,63%,62%,63%,66%,67%,-1,1,3,1
B01. I am interested in my work ,97%,97%,97%,97%,97%,0,0,0,0
B02. I am sufficiently challenged by my work ,92%,92%,92%,93%,93%,0,0,1,0
B03. My work gives me a sense of personal accomplishment ,91%,90%,91%,92%,92%,-1,1,1,0
B04. I feel involved in the decisions that affect my work ,85%,84%,86%,87%,86%,-1,2,1,-1
B05. I have a choice in deciding how I do my work,91%,91%,92%,92%,91%,0,1,0,-1
B06. I have a clear understanding of [my organisation's] purpose,93%,92%,93%,94%,93%,-1,1,1,-1
B07. I have a clear understanding of [my organisation's] objectives ,91%,90%,90%,92%,91%,-1,0,2,-1
B08. I understand how my work contributes to [my organisation's] objectives ,94%,92%,93%,94%,93%,-2,1,1,-1
B09. My manager motivates me to be more effective in my job ,78%,78%,79%,81%,81%,0,1,2,0
B10. My manager is considerate of my life outside work ,78%,79%,79%,81%,82%,1,0,2,1
B11. My manager is open to my ideas ,88%,88%,89%,90%,90%,0,1,1,0
B12. My manager helps me to understand how I contribute to [my organisation's] objectives ,79%,77%,78%,80%,80%,-2,1,2,0
"B13. Overall, I have confidence in the decisions made by my manager ",84%,82%,84%,86%,86%,-2,2,2,0
B14. My manager recognises when I have done my job well ,85%,83%,85%,85%,85%,-2,2,0,0
