" This table shows the overall results to the Civil Service People Survey 2014 by demographic groups - covering job and personal characteristics. These results are different to the benchmark publication in that they are affected by the relative number of responses from different participating organisations (i.e. responses from DWP, HMRC, MOD and NOMS account for 50% of these results).  The Civil Service benchmark is the median score of all participating organisations and therefore is not influenced by the relative number of respondents.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Civil Service People Survey 2014: results by demographic group1,,Grade,,,,,,Country usually work in [H01],,,,,,Region of England usually work in [H1A],,,,,,,,,,Time in current job [H02],,,,,,Time in organisation (or predecessor) [H03],,,,,,Time in Civil Service [H04],,,,,,Manager status [H05],,,Working pattern [H06],,,,Employment status [H07],,,,,,,Occupation of main role - major groups [H08],,,,,,Occupation of main role [H08],,,,,,,,,,,Occupation of main role (cont.) [H08],,,,,,,,,,,,,,,,,,,,,,,Occupation of main role (cont.) [H08],,,,,,Development scheme [H09],,,,Sex [J01],,,Age [J02],,,,,Ethnicity - binary [J03],,,Ethnicity - major group [J03],,,,,,Ethnicity - detailed [J03],,,,,,,,,,,,,,,,,,,Long-term health [J04],,,Impact of long-term illness/condition [J04],,,,Long-term health [J04/J4A],,,Caring status [J05],,,Childcare status [J06],,,Sexual identity [J07],,,,Religious identity [J08],,,,,,,
,,"AO/AA  (n=71,169)","EO  (n=71,898)","SEO/HEO  (n=72,428)","G6/G7  (n=30,280)","SCS  (n=4,532)",,"England  (n=214,139)","Scotland  (n=24,560)","Wales  (n=18,964)","Northern Ireland  (n=1,648)","Overseas  (n=12,983)",,"East Midlands  (n=12,854)","East of England  (n=11,074)","London  (n=53,033)","North East England  (n=18,164)","North West England  (n=27,646)","South East England  (n=25,934)","South West England  (n=29,949)","West Midlands  (n=16,461)","Yorkshire and the Humber  (n=17,139)",,"Less than 1 year  (n=62,600)","1 year but less than 3 years  (n=69,831)","3 years but less than 5 years  (n=31,332)","5 years but less than 10 years  (n=52,145)","10 years or more  (n=53,365)",,"Less than 1 year  (n=18,472)","1 year but less than 3 years  (n=22,231)","3 years but less than 5 years  (n=14,133)","5 years but less than 10 years  (n=47,770)","10 years or more  (n=149,617)",,"Less than 1 year  (n=16,281)","1 year but less than 3 years  (n=17,717)","3 years but less than 5 years  (n=10,605)","5 years but less than 10 years  (n=43,165)","10 years or more  (n=153,737)",,"Non-manager  (n=185,696)","Manager  (n=85,527)",,"Full-time  (n=220,586)","Part-time  (n=50,140)",Job-share  (n=798),,"Permanent contract  (n=254,546)","Fixed term contract  (n=8,972)","Loaned from other CS organisation  (n=2,712)","Temporary/agency worker  (n=2,859)","Contractor/freelancer  (n=1,332)","Secondee from outside CS  (n=1,464)",,"Operations  (n=156,858)","Corporate Services  (n=47,851)","Policy  (n=17,127)","Specialist services  (n=30,013)","Other  (n=16,410)",,"Operations - Administrative  (n=21,709)","Operations - Casework  (n=19,534)","Operations - Debt Management and Banking  (n=3,060)","Operations - Face to Face  (n=28,328)","Operations - General management  (n=10,098)","Operations - Inspection  (n=2,021)","Operations - Investigation  (n=4,830)","Operations - Logistics  (n=3,658)","Operations - Offender management  (n=1,361)","Operations - Processing  (n=22,500)","Operations - Tax professional  (n=4,379)","Operations - Transport  (n=1,890)","Operations - Voice  (n=11,816)","Operations - Other operations  (n=21,674)","CS - Commercial  (n=4,036)","CS - Estates  (n=3,149)","CS - Finance  (n=7,690)","CS - Human resources  (n=6,431)",CS - Internal audit  (n=678),"CS - Information technology  (n=7,188)","CS - Knowledge & information management  (n=1,770)","CS - Private Office  (n=1,699)","CS - Programme and project management  (n=9,652)","CS - Security  (n=3,837)","CS - Strategy  (n=1,721)","Policy  (n=17,127)",Specialist - Animal health  (n=280),"Specialist - Cartography  (n=1,285)","Specialist - Comms  (n=3,626)","Specialist - Economics  (n=1,229)","Specialist - Engineering  (n=5,151)","Specialist - Health  (n=2,739)","Specialist - Legal  (n=6,689)",Specialist - Operational research  (n=991),"Specialist - Scientist  (n=4,088)",Specialist - Social research  (n=760),"Specialist - Statistics  (n=1,914)","Specialist - Other  (n=1,261)","Other  (n=16,410)",,"Not on a development scheme (n=257,718)","Civil Service Fast Stream schemes (n=1,800)","Other development scheme (n=7,167)",,"Male  (n=116,954)","Female  (n=124,778)",,"Aged 16-34  (n=53,431)","Aged 35-44  (n=60,949)","Aged 45-54  (n=79,870)","Aged 55+  (n=41,210)",,"White  (n=220,741)","BME  (n=22,895)",,"White  (n=220,741)","Mixed  (n=3,533)","Asian  (n=10,942)","Black  (n=6,308)","Other ethnic group  (n=2,112)",,"White- British  (n=211,717)","White - Irish  (n=1,977)",White - Gypsy/Irish Traveller  (n=429),"White - any other white background  (n=6,618)",Mixed - White and Black Caribbean  (n=688),Mixed - White and Black African  (n=373),"Mixed - White and Asian  (n=1,061)","Mixed - any other mixed background  (n=1,411)","Asian - Indian  (n=5,955)","Asain - Pakistani  (n=1,971)",Asian - Bangladeshi  (n=891),Asian - Chinese  (n=718),"Asian - any other Asian background  (n=2,125)","Black - African  (n=3,454)","Black - Caribbean  (n=2,379)",Black - any other Black background  (n=475),Other - Arab  (n=667),Other - any other background  (n=727),,"No long-term limiting illness or condition (n=211,772)","Long-term limiting illness or condition (n=37,098)",,"Illness/condition has no impact on daily activity/work (10,154)","Illness/condition has a little impact on daily activity/work (n=20,783)","Illness/condition has a lot of impact on daily activity/work (n=6,024)",,"No long-term limiting illness/condition or an illness/condition has no impact on daily activities/work (n=221,926)","Long-term limiting illness or condition which has an impact on daily activities/work (n=26,807)",,"Not a carer (n=196,189)","Carer for others (n=56,213)",,"No childcare responsibilities  (n=164,854)","Has childcare responsibilities  (n=87,391)",,"Heterosexual/straight  (n=225,931)","Gay, lesbian or bisexual  (n=7,856)","Other  (n=1,446)",,"No religion (n=88,124)","Christian (n=130,522)","Buddhist (n=1,298)","Hindu (n=3,434)",Jewish (n=844),"Muslim (n=5,470)","Sikh (n=1,461)","Any other religion (n=4,007)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee engagement index 2,,52%,52%,55%,59%,74%,,53%,54%,57%,54%,65%,,53%,51%,57%,50%,52%,51%,53%,53%,52%,,60%,56%,54%,51%,49%,,66%,60%,57%,53%,52%,,65%,61%,58%,54%,52%,,52%,59%,,55%,52%,58%,,54%,65%,62%,66%,65%,60%,,53%,57%,61%,56%,50%,,56%,48%,46%,56%,60%,51%,47%,57%,55%,51%,41%,46%,51%,54%,56%,59%,56%,59%,54%,54%,55%,64%,56%,60%,63%,61%,44%,60%,60%,64%,51%,59%,54%,57%,53%,61%,57%,59%,50%,,54%,65%,63%,,54%,58%,,59%,57%,55%,54%,,55%,63%,,55%,58%,64%,63%,61%,,55%,57%,38%,59%,58%,62%,57%,58%,63%,66%,66%,59%,66%,67%,57%,59%,68%,56%,,56%,49%,,55%,49%,42%,,56%,47%,,56%,53%,,55%,56%,,56%,55%,46%,,53%,57%,54%,65%,54%,66%,60%,50%
My work ,,61%,69%,77%,83%,93%,,71%,70%,71%,72%,77%,,69%,69%,75%,66%,69%,70%,72%,69%,70%,,76%,74%,71%,67%,66%,,75%,72%,71%,68%,72%,,73%,72%,71%,68%,72%,,66%,82%,,72%,68%,74%,,71%,73%,80%,68%,80%,81%,,68%,76%,80%,76%,68%,,68%,64%,61%,72%,81%,70%,70%,72%,64%,62%,72%,54%,53%,74%,76%,75%,75%,78%,77%,74%,75%,81%,78%,74%,81%,80%,67%,78%,77%,83%,72%,77%,74%,77%,76%,81%,81%,76%,68%,,71%,79%,79%,,72%,73%,,69%,74%,74%,73%,,72%,73%,,72%,71%,74%,72%,70%,,72%,74%,51%,73%,70%,73%,72%,70%,73%,72%,75%,70%,77%,73%,70%,69%,74%,67%,,73%,65%,,72%,65%,56%,,73%,63%,,73%,70%,,72%,73%,,73%,70%,59%,,70%,74%,68%,75%,69%,73%,71%,63%
Organisational objectives and purpose ,,77%,78%,82%,86%,93%,,79%,82%,81%,80%,83%,,76%,76%,82%,80%,80%,76%,78%,78%,78%,,84%,82%,80%,77%,74%,,82%,81%,80%,78%,80%,,81%,80%,80%,79%,80%,,77%,86%,,79%,80%,82%,,79%,81%,79%,79%,79%,79%,,80%,82%,86%,77%,71%,,78%,77%,79%,83%,87%,75%,71%,73%,76%,78%,79%,60%,80%,82%,83%,77%,83%,84%,87%,78%,77%,89%,85%,78%,90%,86%,58%,79%,84%,85%,69%,79%,81%,80%,70%,83%,82%,80%,71%,,79%,83%,88%,,77%,84%,,80%,81%,81%,80%,,81%,83%,,81%,80%,83%,84%,77%,,81%,80%,57%,81%,81%,83%,80%,79%,83%,83%,83%,80%,85%,87%,81%,79%,78%,75%,,81%,77%,,80%,77%,70%,,81%,75%,,81%,80%,,80%,81%,,81%,79%,66%,,79%,82%,75%,84%,75%,82%,82%,73%
My manager ,,65%,63%,67%,69%,81%,,65%,66%,69%,68%,68%,,63%,62%,67%,66%,66%,62%,64%,64%,64%,,70%,68%,65%,62%,59%,,71%,68%,65%,64%,65%,,69%,68%,65%,65%,65%,,63%,70%,,65%,67%,65%,,65%,69%,68%,65%,66%,68%,,66%,67%,70%,64%,57%,,65%,63%,69%,67%,72%,60%,58%,61%,47%,65%,62%,53%,70%,67%,66%,63%,67%,68%,67%,64%,66%,74%,67%,63%,73%,70%,54%,65%,69%,72%,58%,64%,64%,67%,60%,71%,71%,69%,57%,,65%,73%,74%,,65%,69%,,69%,69%,66%,65%,,67%,68%,,67%,66%,69%,69%,66%,,67%,68%,48%,66%,66%,69%,67%,65%,68%,69%,71%,69%,70%,72%,66%,65%,70%,60%,,67%,61%,,66%,61%,54%,,67%,59%,,67%,64%,,66%,67%,,67%,65%,55%,,66%,68%,63%,69%,61%,70%,68%,60%
My team ,,77%,76%,80%,84%,94%,,78%,79%,81%,79%,79%,,78%,76%,79%,81%,80%,76%,77%,78%,79%,,83%,80%,78%,76%,74%,,82%,78%,77%,77%,79%,,80%,78%,77%,77%,79%,,75%,85%,,78%,81%,80%,,78%,80%,82%,79%,80%,80%,,79%,80%,82%,78%,73%,,76%,77%,84%,78%,85%,70%,75%,74%,68%,79%,79%,65%,82%,80%,78%,74%,80%,83%,76%,78%,79%,87%,80%,76%,87%,82%,70%,79%,82%,84%,73%,79%,76%,81%,75%,83%,86%,79%,73%,,78%,83%,84%,,78%,82%,,79%,80%,80%,80%,,80%,79%,,80%,78%,79%,80%,76%,,80%,80%,60%,78%,77%,80%,78%,77%,78%,80%,81%,78%,78%,82%,79%,76%,79%,72%,,80%,75%,,79%,75%,68%,,80%,73%,,80%,78%,,79%,80%,,80%,77%,69%,,79%,81%,75%,78%,75%,80%,78%,73%
Learning and development ,,44%,47%,53%,56%,72%,,48%,50%,52%,52%,52%,,47%,44%,51%,46%,47%,45%,51%,47%,47%,,58%,53%,47%,42%,39%,,57%,55%,52%,47%,47%,,54%,55%,52%,49%,47%,,45%,57%,,49%,46%,49%,,49%,52%,53%,41%,31%,50%,,47%,54%,55%,51%,41%,,45%,43%,49%,51%,57%,41%,42%,52%,49%,44%,51%,32%,45%,50%,55%,48%,54%,56%,55%,48%,48%,57%,57%,52%,61%,55%,47%,51%,53%,62%,50%,56%,48%,57%,46%,55%,59%,51%,41%,,48%,70%,77%,,48%,53%,,56%,52%,49%,45%,,50%,55%,,50%,52%,55%,57%,51%,,50%,52%,31%,50%,53%,56%,54%,50%,55%,54%,55%,48%,57%,59%,53%,51%,59%,48%,,51%,42%,,49%,42%,34%,,51%,40%,,51%,47%,,50%,50%,,51%,50%,40%,,49%,52%,48%,57%,47%,55%,54%,43%
Inclusion and fair treatment ,,70%,71%,75%,78%,88%,,72%,73%,75%,73%,76%,,71%,69%,74%,71%,72%,70%,73%,71%,72%,,80%,75%,71%,68%,65%,,83%,77%,73%,71%,72%,,81%,78%,74%,72%,71%,,70%,78%,,72%,74%,75%,,72%,80%,80%,80%,82%,83%,,72%,76%,79%,74%,66%,,73%,69%,73%,74%,80%,65%,67%,71%,60%,71%,68%,56%,70%,73%,75%,71%,76%,77%,76%,73%,74%,84%,77%,71%,81%,79%,63%,76%,77%,86%,70%,75%,71%,79%,71%,81%,81%,77%,66%,,72%,85%,82%,,73%,77%,,77%,75%,74%,74%,,75%,74%,,75%,72%,76%,73%,73%,,75%,75%,50%,75%,72%,74%,74%,70%,75%,76%,78%,74%,76%,76%,69%,67%,78%,66%,,76%,65%,,73%,65%,52%,,76%,62%,,75%,70%,,74%,74%,,75%,73%,59%,,74%,76%,66%,76%,70%,77%,73%,64%
Resources and workload ,,72%,69%,69%,70%,79%,,69%,73%,74%,71%,75%,,68%,67%,70%,70%,69%,67%,68%,70%,69%,,72%,71%,70%,69%,67%,,76%,73%,70%,69%,69%,,74%,74%,71%,70%,69%,,69%,71%,,69%,73%,74%,,69%,77%,71%,81%,76%,72%,,70%,71%,71%,69%,64%,,76%,67%,71%,72%,72%,64%,62%,71%,68%,71%,63%,65%,70%,71%,66%,72%,73%,72%,75%,67%,72%,77%,69%,73%,73%,71%,59%,71%,70%,75%,64%,73%,68%,68%,68%,73%,74%,74%,64%,,70%,75%,75%,,69%,74%,,73%,71%,70%,73%,,71%,76%,,71%,71%,77%,77%,72%,,71%,71%,52%,70%,73%,74%,71%,69%,76%,78%,80%,73%,77%,80%,72%,72%,77%,67%,,72%,65%,,72%,64%,56%,,72%,62%,,72%,68%,,71%,71%,,72%,68%,61%,,70%,73%,67%,77%,66%,78%,75%,66%
Pay and benefits ,,24%,25%,29%,36%,36%,,27%,25%,35%,30%,29%,,28%,26%,27%,26%,26%,25%,27%,28%,29%,,35%,29%,25%,23%,22%,,42%,33%,28%,26%,25%,,41%,35%,29%,27%,25%,,26%,31%,,27%,30%,34%,,27%,39%,36%,34%,44%,46%,,26%,31%,31%,30%,24%,,29%,22%,20%,30%,31%,26%,23%,28%,12%,24%,14%,20%,26%,27%,31%,31%,33%,38%,33%,25%,29%,36%,30%,32%,38%,31%,26%,27%,37%,36%,20%,42%,28%,28%,20%,46%,39%,29%,24%,,27%,39%,35%,,25%,32%,,33%,30%,27%,25%,,29%,27%,,29%,30%,27%,26%,26%,,29%,29%,16%,29%,34%,30%,29%,28%,25%,31%,31%,26%,29%,28%,23%,22%,32%,20%,,30%,22%,,26%,21%,17%,,29%,20%,,30%,24%,,28%,28%,,29%,28%,22%,,29%,29%,24%,26%,26%,30%,24%,22%
